iter	Accuracy	MultiClass
0	0.9015862386	1.227643407
1	0.9425269383	1.092259648
2	0.949425703	0.9906638874
3	0.9527062317	0.8934275428
4	0.9562835295	0.8114943272
5	0.961465049	0.7410018216
6	0.96210057	0.6827554199
7	0.9638828122	0.6301999982
8	0.965148528	0.5849399147
9	0.9680308383	0.5432240881
10	0.9681784905	0.5085731438
11	0.9681602183	0.4755303499
12	0.9676490997	0.4453585774
13	0.9693374616	0.4182055302
14	0.9695973278	0.3945791858
15	0.9695682603	0.3709418869
16	0.9694857284	0.3506597632
17	0.9695569939	0.3304518316
18	0.970351587	0.3134764854
19	0.970314715	0.2966642653
20	0.9722325953	0.2806481476
21	0.9720713516	0.2663303306
22	0.9722029542	0.2532945896
23	0.972022025	0.2417324497
24	0.9723683767	0.2301385968
25	0.9728890206	0.2215199109
26	0.9735079798	0.2122282522
27	0.9744058966	0.2034298649
28	0.9751779466	0.1939671363
29	0.976179433	0.186597207
30	0.9758883895	0.1801974841
31	0.9773688236	0.172692752
32	0.9777892574	0.1659545065
33	0.9777697869	0.1600478851
34	0.9781505423	0.1554262461
35	0.9780296838	0.1500942906
36	0.9791649237	0.1446274386
37	0.9791973711	0.1398903009
38	0.9794910572	0.1354697024
39	0.980159343	0.1313853882
40	0.980177779	0.1276786275
41	0.9804194959	0.1247777448
42	0.980983147	0.1210865144
43	0.9824494059	0.1171660586
44	0.9827665672	0.1139071342
45	0.9833486543	0.1110131222
46	0.9828663471	0.1086099676
47	0.9839307414	0.1057187212
48	0.984001966	0.1036807644
49	0.9850219909	0.1007606716
50	0.9851351574	0.0979817864
51	0.985741406	0.09588300193
52	0.9858249622	0.09391135319
53	0.9865524482	0.09197177132
54	0.9867286147	0.09002551593
55	0.9866913125	0.08805076701
56	0.9866766456	0.08640016377
57	0.9869861252	0.08506945366
58	0.9871931824	0.08320426773
59	0.9878310077	0.08101901043
60	0.9876077269	0.07988342984
61	0.9879703022	0.07836437488
62	0.98759306	0.07733402399
63	0.9878841035	0.07628653147
64	0.9894021063	0.07508840989
65	0.989488305	0.07373403014
66	0.9895745037	0.07275144561
67	0.9894698689	0.07152801968
68	0.9898399416	0.07038010302
69	0.9902962642	0.0694968324
70	0.9903791035	0.06854587134
71	0.9904664493	0.06788993975
72	0.9910360819	0.0669338604
73	0.9909683192	0.06596358787
74	0.9908821205	0.06522567792
75	0.9907796981	0.06428187005
76	0.9907634744	0.06348583834
77	0.9907634744	0.06293058632
78	0.9912777988	0.06189351563
79	0.9917800374	0.06124313091
80	0.9918986835	0.06033147219
81	0.9916938387	0.05973850971
82	0.9918824598	0.0590428862
83	0.9920873046	0.05815823791
84	0.9923890923	0.05749144716
85	0.9922866699	0.05670637562
86	0.992475291	0.05647180033
87	0.9920980488	0.05551158115
88	0.9922866699	0.05512731773
89	0.9922004712	0.05460707012
90	0.9922004712	0.05393195694
91	0.9923890923	0.05339324378
92	0.9922004712	0.05274151293
93	0.9923890923	0.05229770695
94	0.9923890923	0.05170648907
95	0.9923890923	0.05103569803
96	0.9923890923	0.05058530535
97	0.992475291	0.04991565904
98	0.9926639121	0.04928114175
99	0.9926639121	0.0490317599
100	0.9926639121	0.04854511752
101	0.9931620128	0.0478868364
102	0.993350634	0.04735867651
103	0.993350634	0.04705926818
104	0.993350634	0.04655100422
105	0.9931620128	0.04630862843
106	0.993350634	0.04570710145
107	0.9934530564	0.04529026972
108	0.9934530564	0.04494001902
109	0.9934530564	0.04450433356
110	0.9934530564	0.04401333578
111	0.9934530564	0.0438551247
112	0.9934530564	0.04358854015
113	0.9934530564	0.04342917668
114	0.9936579012	0.04294250028
115	0.9937787597	0.04278421311
116	0.9937787597	0.04264527686
117	0.9937787597	0.04246362702
118	0.9937787597	0.04224758154
119	0.9937787597	0.04204678257
120	0.9938811821	0.04153282184
121	0.9940698032	0.04118692521
122	0.9939836045	0.04072830728
123	0.9941722257	0.04019705594
124	0.9941906617	0.03988652241
125	0.9941906617	0.03943561505
126	0.9941906617	0.03929752274
127	0.994122899	0.03886533172
128	0.9942253214	0.03859015706
129	0.9942253214	0.03857211672
130	0.9942253214	0.03855697259
131	0.9942746481	0.03815951811
132	0.9943093078	0.03781068074
133	0.9946187874	0.03754007342
134	0.9942415452	0.03726789277
135	0.9944301663	0.03716901702
136	0.9944301663	0.03715733271
137	0.9948074085	0.03690225089
138	0.9947049861	0.03673757608
139	0.9947212098	0.03640373338
140	0.9947212098	0.03638272975
141	0.9947212098	0.03636104412
142	0.994909831	0.03610833111
143	0.994909831	0.03610189033
144	0.994909831	0.03609637364
145	0.994909831	0.03580075943
146	0.994909831	0.03579583576
147	0.9950306894	0.03552689881
148	0.9952355343	0.0351655401
149	0.9953379567	0.03514470745
150	0.9961810264	0.03487993376
151	0.9957314227	0.03471744487
152	0.9957314227	0.03455801002
153	0.9961625903	0.03422511196
154	0.9961625903	0.03421967251
155	0.9961625903	0.03420189393
156	0.9962834488	0.03397782843
157	0.9962834488	0.0339622976
158	0.9956105642	0.03378612666
159	0.9956105642	0.03378310686
160	0.9956105642	0.03363984471
