iter	Passed	Remaining
0	73	58632
1	165	66102
2	265	70500
3	351	70042
4	437	69493
5	529	70087
6	614	69640
7	702	69509
8	783	68898
9	874	69093
10	976	70015
11	1062	69768
12	1145	69325
13	1243	69832
14	1327	69483
15	1418	69525
16	1498	69034
17	1594	69288
18	1701	69932
19	1784	69585
20	1869	69349
21	1948	68905
22	2026	68449
23	2105	68066
24	2187	67820
25	2275	67754
26	2371	67892
27	2460	67850
28	2546	67690
29	2644	67882
30	2742	68034
31	2822	67748
32	2907	67587
33	3011	67836
34	3098	67726
35	3212	68168
36	3297	67995
37	3370	67591
38	3458	67478
39	3540	67264
40	3629	67191
41	3725	67244
42	3832	67473
43	3918	67335
44	4025	67540
45	4120	67543
46	4214	67514
47	4317	67646
48	4420	67745
49	4500	67501
50	4586	67351
51	4665	67114
52	4751	66975
53	4859	67135
54	4959	67176
55	5057	67197
56	5148	67106
57	5256	67246
58	5342	67097
59	5418	66824
60	5518	66858
61	5618	66883
62	5713	66837
63	5810	66815
64	5919	66935
65	6005	66789
66	6091	66638
67	6182	66556
68	6274	66475
69	6362	66352
70	6457	66299
71	6549	66223
72	6631	66038
73	6718	65911
74	6801	65745
75	6883	65578
76	6995	65681
77	7110	65815
78	7201	65725
79	7292	65630
80	7388	65580
81	7477	65470
82	7574	65436
83	7680	65465
84	7781	65458
85	7865	65302
86	7950	65155
87	8040	65052
88	8126	64920
89	8223	64875
90	8309	64737
91	8393	64590
92	8477	64450
93	8584	64472
94	8629	64037
95	8748	64156
96	8774	63593
97	8892	63699
98	9011	63811
99	9112	63784
100	9202	63685
101	9291	63579
102	9373	63432
103	9466	63350
104	9551	63220
105	9639	63110
106	9724	62983
107	9810	62858
108	9895	62734
109	9997	62714
110	10099	62692
111	10191	62606
112	10276	62480
113	10368	62391
114	10473	62383
115	10572	62340
116	10688	62392
117	10775	62281
118	10856	62129
119	10938	61982
120	11017	61825
121	11095	61662
122	11172	61495
123	11267	61428
124	11351	61296
125	11439	61192
126	11518	61040
127	11618	60997
128	11698	60849
129	11779	60707
130	11868	60610
131	11950	60476
132	12034	60355
133	12119	60236
134	12206	60127
135	12295	60032
136	12393	59975
137	12484	59890
138	12570	59777
139	12664	59703
140	12752	59603
141	12837	59487
142	12916	59345
143	12997	59209
144	13080	59086
145	13180	59043
146	13284	59013
147	13364	58877
148	13450	58764
149	13536	58658
150	13616	58522
151	13697	58396
152	13795	58336
153	13883	58238
154	13970	58133
155	14051	58008
156	14137	57902
157	14247	57890
158	14332	57780
159	14425	57702
160	14523	57641
161	14602	57509
162	14697	57438
163	14784	57333
164	14866	57214
165	14960	57139
166	15050	57046
167	15139	56952
168	15219	56826
169	15311	56742
170	15394	56625
171	15500	56593
172	15584	56481
173	15664	56354
174	15743	56228
175	15830	56124
176	15918	56031
177	16026	56003
178	16145	56011
179	16237	55928
180	16339	55879
181	16431	55794
182	16513	55676
183	16597	55565
184	16681	55455
185	16776	55379
186	16860	55270
187	16947	55169
188	17035	55072
189	17133	55008
190	17221	54911
191	17307	54807
192	17399	54724
193	17491	54639
194	17573	54523
195	17659	54419
196	17759	54360
197	17869	54329
198	17986	54321
199	18095	54286
200	18177	54170
201	18301	54178
202	18388	54078
203	18479	53987
204	18581	53932
205	18682	53871
206	18773	53780
207	18855	53667
208	18964	53626
209	19063	53558
210	19154	53469
211	19245	53379
212	19333	53281
213	19422	53185
214	19527	53133
215	19612	53026
216	19695	52913
217	19788	52828
218	19870	52715
219	19958	52617
220	20043	52511
221	20127	52404
222	20212	52298
223	20310	52227
224	20396	52123
225	20472	51997
226	20550	51872
227	20641	51785
228	20750	51740
229	20837	51641
230	20949	51603
231	21043	51520
232	21130	51419
233	21221	51329
234	21330	51283
235	21425	51203
236	21539	51168
237	21645	51111
238	21736	51022
239	21839	50957
240	21942	50894
241	22039	50817
242	22117	50696
243	22199	50585
244	22287	50489
245	22386	50415
246	22470	50308
