state_id,sku_id,product_key,brand,style_code,product_name,category,gender,collection_type,week_of,retail_price_usd,cost_price_usd,base_retail_price_usd,inventory_initial_stock,simulated_peak_stock,total_qty,inventory_value_at_cost,inventory_value_at_retail,days_since_launch,launch_age_days,days_since_last_discount,days_at_current_price,discount_depth_last_30d_proxy,seasonality_alignment_score,seasonality_score,category_seasonal_boost,event_name,event_proximity_score,sell_through_proxy,inventory_pressure_index,market_pressure_index,identity_source,competitor_min_price_usd,competitor_avg_price_usd,competitor_max_price_usd,num_competitors,competitors_on_sale_count,competitors_on_sale_ratio,competitors_in_stock_count,competitors_out_of_stock_count,data_freshness_hours,has_competitor_data
SP-016FA5F172|2025-12-29,SP-016FA5F172,NEW BALANCE|IN234925,New Balance,IN234925,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,apparel,women,core,2025-12-29,77.65,36.75,77.65,14,45,45,1653.75,3494.25,127,127,999,7,0.0,0.9,0.9,0.0,holiday_gifting,0.7,0.0,1.0,1.0273,real_catalog_product,74.07,74.59,75.12,1,0,0.0,1,0,75.1,1
SP-016FA5F172|2026-01-05,SP-016FA5F172,NEW BALANCE|IN234925,New Balance,IN234925,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,apparel,women,core,2026-01-05,77.65,36.75,77.65,14,45,43,1580.25,3338.95,134,134,999,14,0.0,0.7,0.7,0.0,none,0.0,0.0444,0.9556,1.0273,real_catalog_product,72.58,73.11,73.64,1,0,0.0,1,0,63.45,1
SP-016FA5F172|2026-01-12,SP-016FA5F172,NEW BALANCE|IN234925,New Balance,IN234925,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,apparel,women,core,2026-01-12,77.65,36.75,77.65,14,45,41,1506.75,3183.65,141,141,999,21,0.0,0.7,0.7,0.0,none,0.0,0.0889,0.9111,1.0273,real_catalog_product,71.71,72.23,72.76,1,0,0.0,1,0,60.08,1
SP-016FA5F172|2026-01-19,SP-016FA5F172,NEW BALANCE|IN234925,New Balance,IN234925,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,apparel,women,core,2026-01-19,77.65,36.75,77.65,14,45,39,1433.25,3028.35,148,148,999,28,0.0,0.7,0.7,0.0,none,0.0,0.1333,0.8667,1.0273,real_catalog_product,71.58,72.11,72.64,1,0,0.0,1,0,59.19,1
SP-016FA5F172|2026-01-26,SP-016FA5F172,NEW BALANCE|IN234925,New Balance,IN234925,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,apparel,women,core,2026-01-26,77.65,36.75,77.65,14,45,37,1359.75,2873.05,155,155,999,35,0.0,0.7,0.7,0.0,none,0.0,0.1778,0.8222,1.0273,real_catalog_product,72.31,72.84,73.37,1,0,0.0,1,0,61.07,1
SP-016FA5F172|2026-02-02,SP-016FA5F172,NEW BALANCE|IN234925,New Balance,IN234925,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,apparel,women,core,2026-02-02,77.65,36.75,77.65,14,45,35,1286.25,2717.75,162,162,999,42,0.0,0.8,0.8,0.0,none,0.0,0.2222,0.7778,1.0273,real_catalog_product,73.79,74.32,74.84,1,0,0.0,1,0,65.07,1
SP-016FA5F172|2026-02-09,SP-016FA5F172,NEW BALANCE|IN234925,New Balance,IN234925,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,apparel,women,core,2026-02-09,77.65,36.75,77.65,14,45,33,1212.75,2562.45,169,169,999,49,0.0,0.8,0.8,0.0,none,0.0,0.2667,0.7333,1.0273,real_catalog_product,75.38,75.91,76.44,1,0,0.0,1,0,69.79,1
SP-016FA5F172|2026-02-16,SP-016FA5F172,NEW BALANCE|IN234925,New Balance,IN234925,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,apparel,women,core,2026-02-16,77.65,36.75,77.65,14,45,31,1139.25,2407.15,176,176,999,56,0.0,0.8,0.8,0.0,none,0.0,0.3111,0.6889,1.0273,real_catalog_product,76.69,77.22,77.75,1,0,0.0,1,0,73.59,1
SP-016FA5F172|2026-02-23,SP-016FA5F172,NEW BALANCE|IN234925,New Balance,IN234925,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,apparel,women,core,2026-02-23,77.65,36.75,77.65,14,45,30,1102.5,2329.5,183,183,999,63,0.0,0.8,0.8,0.0,none,0.0,0.3333,0.6667,1.0273,real_catalog_product,77.31,77.84,78.37,2,0,0.0,2,0,75.13,1
SP-016FA5F172|2026-03-02,SP-016FA5F172,NEW BALANCE|IN234925,New Balance,IN234925,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,apparel,women,core,2026-03-02,77.65,36.75,77.65,14,45,28,1029.0,2174.2,190,190,0,0,0.1585,0.9,0.9,0.0,eid_al_fitr,0.5,0.3778,0.6222,1.0273,real_catalog_product,77.2,77.73,78.26,2,0,0.0,2,0,78.88,1
SP-016FA5F172|2026-03-09,SP-016FA5F172,NEW BALANCE|IN234925,New Balance,IN234925,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,apparel,women,core,2026-03-09,77.65,36.75,77.65,14,45,26,955.5,2018.9,197,197,7,7,0.1268,0.9,0.9,0.0,eid_al_fitr,0.5,0.4222,0.5778,1.0273,real_catalog_product,76.25,76.78,77.31,1,0,0.0,1,0,75.28,1
SP-016FA5F172|2026-03-16,SP-016FA5F172,NEW BALANCE|IN234925,New Balance,IN234925,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,apparel,women,core,2026-03-16,77.65,36.75,77.65,14,45,24,882.0,1863.6,204,204,14,14,0.0951,0.9,0.9,0.0,eid_al_fitr,0.5,0.4667,0.5333,1.0273,real_catalog_product,74.96,75.48,76.01,1,0,0.0,1,0,70.58,1
