state_id,sku_id,week_of,rules_label
SP-016FA5F172|2025-12-29,SP-016FA5F172,2025-12-29,HOLD
SP-016FA5F172|2026-01-05,SP-016FA5F172,2026-01-05,HOLD
SP-016FA5F172|2026-01-12,SP-016FA5F172,2026-01-12,HOLD
SP-016FA5F172|2026-01-19,SP-016FA5F172,2026-01-19,HOLD
SP-016FA5F172|2026-01-26,SP-016FA5F172,2026-01-26,HOLD
SP-016FA5F172|2026-02-02,SP-016FA5F172,2026-02-02,HOLD
SP-016FA5F172|2026-02-09,SP-016FA5F172,2026-02-09,HOLD
SP-016FA5F172|2026-02-16,SP-016FA5F172,2026-02-16,HOLD
SP-016FA5F172|2026-02-23,SP-016FA5F172,2026-02-23,HOLD
SP-016FA5F172|2026-03-02,SP-016FA5F172,2026-03-02,HOLD
SP-016FA5F172|2026-03-09,SP-016FA5F172,2026-03-09,HOLD
SP-016FA5F172|2026-03-16,SP-016FA5F172,2026-03-16,HOLD
SP-016FA5F172|2026-03-23,SP-016FA5F172,2026-03-23,HOLD
SP-016FA5F172|2026-03-30,SP-016FA5F172,2026-03-30,HOLD
SP-016FA5F172|2026-04-06,SP-016FA5F172,2026-04-06,PROMOTE
SP-016FA5F172|2026-04-13,SP-016FA5F172,2026-04-13,HOLD
SP-02050B0FD1|2025-12-29,SP-02050B0FD1,2025-12-29,HOLD
SP-02050B0FD1|2026-01-05,SP-02050B0FD1,2026-01-05,HOLD
SP-02050B0FD1|2026-01-12,SP-02050B0FD1,2026-01-12,HOLD
SP-02050B0FD1|2026-01-19,SP-02050B0FD1,2026-01-19,HOLD
SP-02050B0FD1|2026-01-26,SP-02050B0FD1,2026-01-26,HOLD
SP-02050B0FD1|2026-02-02,SP-02050B0FD1,2026-02-02,HOLD
SP-02050B0FD1|2026-02-09,SP-02050B0FD1,2026-02-09,HOLD
SP-02050B0FD1|2026-02-16,SP-02050B0FD1,2026-02-16,HOLD
SP-02050B0FD1|2026-02-23,SP-02050B0FD1,2026-02-23,HOLD
SP-02050B0FD1|2026-03-02,SP-02050B0FD1,2026-03-02,HOLD
SP-02050B0FD1|2026-03-09,SP-02050B0FD1,2026-03-09,HOLD
SP-02050B0FD1|2026-03-16,SP-02050B0FD1,2026-03-16,HOLD
SP-02050B0FD1|2026-03-23,SP-02050B0FD1,2026-03-23,HOLD
SP-02050B0FD1|2026-03-30,SP-02050B0FD1,2026-03-30,HOLD
SP-02050B0FD1|2026-04-06,SP-02050B0FD1,2026-04-06,HOLD
SP-02050B0FD1|2026-04-13,SP-02050B0FD1,2026-04-13,HOLD
SP-0246864EFD|2025-12-29,SP-0246864EFD,2025-12-29,HOLD
SP-0246864EFD|2026-01-05,SP-0246864EFD,2026-01-05,HOLD
SP-0246864EFD|2026-01-12,SP-0246864EFD,2026-01-12,HOLD
SP-0246864EFD|2026-01-19,SP-0246864EFD,2026-01-19,HOLD
SP-0246864EFD|2026-01-26,SP-0246864EFD,2026-01-26,HOLD
SP-0246864EFD|2026-02-02,SP-0246864EFD,2026-02-02,HOLD
SP-0246864EFD|2026-02-09,SP-0246864EFD,2026-02-09,HOLD
SP-0246864EFD|2026-02-16,SP-0246864EFD,2026-02-16,HOLD
SP-0246864EFD|2026-02-23,SP-0246864EFD,2026-02-23,HOLD
SP-0246864EFD|2026-03-02,SP-0246864EFD,2026-03-02,HOLD
SP-0246864EFD|2026-03-09,SP-0246864EFD,2026-03-09,HOLD
