state_id,sku_id,product_key,style_code,brand,category,product_name,week_of,days_of_supply,stock_coverage_ratio,stockout_risk,total_qty,inventory_vs_median,current_margin_pct,discount_depth_last_30d,days_since_last_discount,days_at_current_price,retail_price_usd,price_gap_pct,competitors_on_sale,competitors_out_of_stock,num_competitors,market_position,days_since_launch,season_sell_through_pct,brand_tier,cost_price_usd,seasonality_score,category_seasonal_boost,event_proximity_score,next_month_seasonality,cash_runway_months,cash_tight,inventory_intensity,match_type,match_score,inventory_history_quality,has_competitor_data,competitor_min_price_usd,competitor_avg_price_usd,competitor_max_price_usd,sales_units_last_28d,avg_daily_sales_28d,competitor_price_trend_4w,competitor_sale_frequency_4w,competitor_oos_frequency_4w,price_gap_volatility_4w,stock_velocity_4w,sell_through_velocity_4w,days_since_competitor_change,rules_label,row_source,is_augmented,augmentation_family,anchor_state_id,sample_weight_hint,data_source,synthetic_is_augmented,synthetic_target_label,synthetic_anchor_state_id,synthetic_mutation_profile
1|2026-05-19,1,,2,2,2,2,2026-05-19,0.0,0.0,1,0,1.0,-1000.0,0.0,999,30,2.0,0.0,0,0,0,at_market,0,1.0,tier2,22.0,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
1|2026-05-26,1,,2,2,2,2,2026-05-26,0.0,0.0,1,0,1.0,-1000.0,0.0,999,30,2.0,0.0,0,0,0,at_market,0,1.0,tier2,22.0,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-1.0,7,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
1|2026-06-02,1,,2,2,2,2,2026-06-02,58.8,1.96,0,2,1.0,-1000.0,0.0,999,30,2.0,0.0,0,0,0,at_market,0,0.0,tier2,22.0,1.2,0.0,0.0,1.1,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-0.5,14,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
1234|2026-05-19,1234,,AP23941,Abidas,sniker,product_test,2026-05-19,0.0,0.0,1,0,1.0,44.44,0.0,999,30,99.0,0.0,0,0,0,at_market,0,1.0,tier2,55.0,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
1234|2026-05-26,1234,,AP23941,Abidas,sniker,product_test,2026-05-26,0.0,0.0,1,0,1.0,44.44,0.0,999,30,99.0,0.0,0,0,0,at_market,0,1.0,tier2,55.0,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0234,-12.0,-1.0,0,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
1234|2026-06-02,1234,,AP23941,Abidas,sniker,product_test,2026-06-02,94.6,3.15,0,25,1.0,44.44,0.0,999,30,99.0,0.0,0,0,0,at_market,0,0.0,tier2,55.0,1.2,0.0,0.0,1.1,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.6667,0.0191,-6.0,-0.5,7,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
2452452|2026-05-19,2452452,,OP3053,Abidas,pants,Jeans JJ,2026-05-19,0.0,0.0,1,0,1.0,46.67,0.0,999,30,75.0,0.0,0,0,0,at_market,0,1.0,tier2,40.0,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
2452452|2026-05-26,2452452,,OP3053,Abidas,pants,Jeans JJ,2026-05-26,0.0,0.0,1,0,1.0,46.67,0.0,999,30,75.0,0.0,0,0,0,at_market,0,1.0,tier2,40.0,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,-1.0,7,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
2452452|2026-06-02,2452452,,OP3053,Abidas,pants,Jeans JJ,2026-06-02,71.7,2.39,0,50,1.0,46.67,0.0,999,30,75.0,0.0,0,0,0,at_market,0,0.0,tier2,40.0,1.2,0.0,0.0,1.1,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.0,-0.5,14,PROMOTE,rds_snapshot_history,0,,,1.0,real,0,,,
SP-016FA5F172|2026-05-19,SP-016FA5F172,,IN234925,New Balance,apparel,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,2026-05-19,0.0,0.0,1,0,1.0,52.67,0.0,999,30,77.65,0.0341,0,0,1,at_market,0,1.0,tier1,36.75,1.15,0.0,0.0,1.2,3.0,0,0.8224,same_model_family,0.98,movement_reconstructed,1,75.0,75.0,75.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
SP-016FA5F172|2026-05-26,SP-016FA5F172,,IN234925,New Balance,apparel,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,2026-05-26,64.5,2.15,0,14,1.0,52.67,0.0,999,30,77.65,0.0341,0,0,1,at_market,0,0.0,tier1,36.75,1.15,0.0,0.0,1.2,3.0,0,0.8224,same_model_family,0.98,movement_reconstructed,1,75.0,75.0,75.0,0.0,0.0,0.0,1.0,1.0,0.0,-14.0,-1.0,7,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
SP-016FA5F172|2026-06-02,SP-016FA5F172,,IN234925,New Balance,apparel,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,2026-06-02,64.5,2.15,0,14,1.0,52.67,0.0,999,30,77.65,0.0341,0,0,1,at_market,3,0.0,tier1,36.75,1.2,0.0,0.0,1.1,3.0,0,0.8224,same_model_family,0.98,movement_reconstructed,1,75.0,75.0,75.0,0.0,0.0,0.0,1.0,1.0,0.0,-7.0,-0.5,14,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
SP-02050B0FD1|2026-05-19,SP-02050B0FD1,,IK7862,Adidas,other,"Adicolor 70S V-Neck Dress, Beige",2026-05-19,0.0,0.0,1,0,1.0,57.21,0.0,999,30,42.63,0.1086,1,1,1,above_market,0,1.0,tier1,18.24,1.15,0.0,0.0,1.2,3.0,0,0.8224,exact_style,1.0,movement_reconstructed,1,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
SP-02050B0FD1|2026-05-26,SP-02050B0FD1,,IK7862,Adidas,other,"Adicolor 70S V-Neck Dress, Beige",2026-05-26,73.5,2.45,0,9,1.0,57.21,0.0,999,30,42.63,0.0,0,0,0,at_market,0,0.0,tier1,18.24,1.15,0.0,0.0,1.2,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-1.0,7,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
SP-02050B0FD1|2026-06-02,SP-02050B0FD1,,IK7862,Adidas,other,"Adicolor 70S V-Neck Dress, Beige",2026-06-02,73.5,2.45,0,9,1.0,57.21,0.0,999,30,42.63,0.0,0,0,0,at_market,3,0.0,tier1,18.24,1.2,0.0,0.0,1.1,3.0,0,0.8224,no_match,0.0,movement_reconstructed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-0.5,14,HOLD,rds_snapshot_history,0,,,1.0,real,0,,,
