style_code,mikesport_product,adidas_product,mikesport_price_original,mikesport_currency,adidas_price_original,adidas_currency,mikesport_price_usd,adidas_price_usd,mikesport_price_lbp,adidas_price_lbp,same_price,cheaper_retailer,more_expensive_retailer,price_relation,price_diff_usd,price_diff_lbp
B75806,Adidas Samba Og Unisex Original Shoes White/Black/Gum,"Samba Og Shoes, White",159.0,USD,14310000.0,LBP,159.0,159.0,14310000.0,14310000.0,True,tie,tie,same_price,0.0,0.0
B75807,Adidas Samba Og Unixes Original Shoes Black/White/ Gum,"Samba OG Shoes, Black",159.0,USD,14310000.0,LBP,159.0,159.0,14310000.0,14310000.0,True,tie,tie,same_price,0.0,0.0
BB5476,Adidas Gazelle Men Original Shoes Black/White/Gold,"Gazelle Shoes, Black",159.0,USD,14310000.0,LBP,159.0,159.0,14310000.0,14310000.0,True,tie,tie,same_price,0.0,0.0
DB3021,Adidas Handball Spezial Men Original Shoes Black/White/Gum,"Handball Spezial Shoes, Black",159.0,USD,14310000.0,LBP,159.0,159.0,14310000.0,14310000.0,True,tie,tie,same_price,0.0,0.0
F35556,Adidas Adilette Aqua Ps/Gs-Boys Swim Slippers Black/White,"Unisex Adilette Aqua Slides, Black",32.0,USD,2880000.0,LBP,32.0,32.0,2880000.0,2880000.0,True,tie,tie,same_price,0.0,0.0
FM9932,Adidas Performance Unisex Training Water Bottle White/Black,"Unisex Performance 750 Ml Water Bottle, White",13.0,USD,1170000.0,LBP,13.0,13.0,1170000.0,1170000.0,True,tie,tie,same_price,0.0,0.0
FX7534,Adidas Stan Smith Ps Original Shoes White/Green,"Kids Unisex Stan Smith Shoes, White",48.0,USD,4320000.0,LBP,48.0,48.0,4320000.0,4320000.0,True,tie,tie,same_price,0.0,0.0
GY0042,Adidas Campus 00S Women Original Shoes Crystal White/Black,"Campus 00s Shoes, White",159.0,USD,14310000.0,LBP,159.0,159.0,14310000.0,14310000.0,True,tie,tie,same_price,0.0,0.0
H03472,Adidas Campus 00S Unisex Original Shoes Green/White,"Campus 00s Shoes, Green",159.0,USD,14310000.0,LBP,159.0,159.0,14310000.0,14310000.0,True,tie,tie,same_price,0.0,0.0
HM4970,Adidas Rubber X3 Unisex Basketball Ball Natural/Black/Gold,"3-Stripes Rubber X3 Basketball, Orange",32.0,USD,2880000.0,LBP,32.0,32.0,2880000.0,2880000.0,True,tie,tie,same_price,0.0,0.0
HQ8707,Adidas Campus 00S Unisex Original Shoes Grey/White/Off White,"Campus 00s Shoes, Grey",159.0,USD,14310000.0,LBP,159.0,159.0,14310000.0,14310000.0,True,tie,tie,same_price,0.0,0.0
HQ8708,Adidas Campus 00S Unisex Original Shoes Black/White,"Campus 00s Shoes, Black",159.0,USD,14310000.0,LBP,159.0,159.0,14310000.0,14310000.0,True,tie,tie,same_price,0.0,0.0
HS9766,Adidas Tiro Capt Unisex Football Band Black/White,"Unisex Tiro League Captain Arm Band, Black",26.0,USD,2340000.0,LBP,26.0,26.0,2340000.0,2340000.0,True,tie,tie,same_price,0.0,0.0
HT3434,Adidas Cushioned Low-Cut 3 Pairs Unisex Training Sock White/Black,"Unisex Cushioned Low-Cut Socks - 3 Pairs, Multicolour",18.0,USD,1620000.0,LBP,18.0,18.0,1620000.0,1620000.0,True,tie,tie,same_price,0.0,0.0
HT3446,Adidas Cushioned Crew 3 Pairs Unisex Sportswear Sock White/Black,"Unisex Cushioned Sportswear Crew Socks 3 Pair Pack, Multicolour",19.0,USD,1710000.0,LBP,19.0,19.0,1710000.0,1710000.0,True,tie,tie,same_price,0.0,0.0
HT3463,Adidas No Show 3 Pack Unisex Sportswear Sock White/Black,"Unisex Thin and Light No-Show Socks 3 Pairs, White",18.0,USD,1620000.0,LBP,18.0,18.0,1620000.0,1620000.0,True,tie,tie,same_price,0.0,0.0
HT3468,Adidas Thin And Light Ankle 3 Pairs Unisex Sportswear Sock White/Black,"Unisex Thin and Light Ankle Socks - 3 Pairs, Multicolour",18.0,USD,1620000.0,LBP,18.0,18.0,1620000.0,1620000.0,True,tie,tie,same_price,0.0,0.0
HT3469,Adidas Thin And Light Sportswear Low-Cut 3 Pairs Unisex Sportswear Sock White/Black,"Unisex Thin and Light Sportswear Low-Cut Socks 3 Pairs, White",18.0,USD,1620000.0,LBP,18.0,18.0,1620000.0,1620000.0,True,tie,tie,same_price,0.0,0.0
HT3519,Adidas Performance 750 Ml Unisex Training Bottle Red/Black,"Unisex Performance Water Bottle 750 ML, Red",13.0,USD,1170000.0,LBP,13.0,13.0,1170000.0,1170000.0,True,tie,tie,same_price,0.0,0.0
HT3908,Adidas Unisex Tennis Head Band,"Unisex Tennis Headband, White",18.0,USD,1620000.0,LBP,18.0,18.0,1620000.0,1620000.0,True,tie,tie,same_price,0.0,0.0
HT3909,Adidas Head Unisex Tennis Band Black/White,"Unisex Tennis Headband, Multicolour",18.0,USD,1620000.0,LBP,18.0,18.0,1620000.0,1620000.0,True,tie,tie,same_price,0.0,0.0
HT3911,Adidas Large Unisex Training Band White/Black,"Unisex Tennis Wristband Large, White",19.0,USD,1710000.0,LBP,19.0,19.0,1710000.0,1710000.0,True,tie,tie,same_price,0.0,0.0
HT6538,Adidas Milano 23 Unisex Football Sock Black/White,"Unisex Milano 23 Socks, Black",16.0,USD,1440000.0,LBP,16.0,16.0,1440000.0,1440000.0,True,tie,tie,same_price,0.0,0.0
IA3031,Adidas Multiple Width 3 Per Pack Unisex Training Band Black/White,"Unisex Multiple Width Training Headbands - Set Of 3, Multicolour",22.0,USD,1980000.0,LBP,22.0,22.0,1980000.0,1980000.0,True,tie,tie,same_price,0.0,0.0
IB7813,Adidas Milano 23 Unisex Football Sock White/Black,"Unisex Milano 23 Socks, White",16.0,USD,1440000.0,LBP,16.0,16.0,1440000.0,1440000.0,True,tie,tie,same_price,0.0,0.0
IC1282,Adidas Thin And Light Ankle 3 Pairs Unisex Sportswear Sock Black/White,"Unisex Thin and Light Ankle Socks 3 Pairs, Black",18.0,USD,1620000.0,LBP,18.0,18.0,1620000.0,1620000.0,True,tie,tie,same_price,0.0,0.0
IC1310,Adidas Cushioned Crew 3 Pairs Unisex Sportswear Sock Black/White,"Unisex Cushioned Crew Socks 3 Pairs, Black",19.0,USD,1710000.0,LBP,19.0,19.0,1710000.0,1710000.0,True,tie,tie,same_price,0.0,0.0
IC1321,Adidas Unisex Training Sock Black/White,"Unisex 3-Stripes Cushioned Crew Socks 3 Pairs, Multicolour",22.0,USD,1980000.0,LBP,22.0,22.0,1980000.0,1980000.0,True,tie,tie,same_price,0.0,0.0
IC1327,Adidas No-Show Unisex Training Sock Black/White,"Unisex Thin and Light No-Show Socks 3 Pairs, Black",18.0,USD,1620000.0,LBP,18.0,18.0,1620000.0,1620000.0,True,tie,tie,same_price,0.0,0.0
IC1332,Adidas Unisex Training Sock Black/White,"Unisex Cushioned Low-Cut Socks - 3 Pairs, Multicolour",18.0,USD,1620000.0,LBP,18.0,18.0,1620000.0,1620000.0,True,tie,tie,same_price,0.0,0.0
IC1336,Adidas Thin And Light Sportswear Low-Cut 3 Pairs Unisex Sportswear Sock Black/White,"Unisex Thin and Light Sportswear Low-Cut Socks 3 Pairs, Black",18.0,USD,1620000.0,LBP,18.0,18.0,1620000.0,1620000.0,True,tie,tie,same_price,0.0,0.0
IC2069,Adidas Essentials Unisex Training Cap White/Silver,"Unisex Running Essentials Aeroready Six-Panel Baseball Cap, White",26.0,USD,2340000.0,LBP,26.0,26.0,2340000.0,2340000.0,True,tie,tie,same_price,0.0,0.0
IC6977,Adidas Essential Woven Men Training Short Dark Blue/White,"Train Essentials Woven Training Shorts, Blue",44.0,USD,3960000.0,LBP,44.0,44.0,3960000.0,3960000.0,True,tie,tie,same_price,0.0,0.0
ID0478,Adidas Samba Og Women Original Shoes Cream White/Black,"Samba OG Shoes, Beige",159.0,USD,14310000.0,LBP,159.0,159.0,14310000.0,14310000.0,True,tie,tie,same_price,0.0,0.0
ID1305,Adidas Advantage Base 2 Ps-Girls Sportswear Shoes White/Bliss Pink,"Unisex Kids Advantage Base 2.0 Shoes, White",61.0,USD,5490000.0,LBP,61.0,61.0,5490000.0,5490000.0,True,tie,tie,same_price,0.0,0.0
ID3886,Adidas Advantage Base 2.0 Gs-Girls Sportswear Shoes White/Bliss Pink,"Unisex Kids Advantage Base 2.0 Shoes, White",67.0,USD,6030000.0,LBP,67.0,67.0,6030000.0,6030000.0,True,tie,tie,same_price,0.0,0.0
ID3888,Adidas Advantage Base 2 Gs Sportswear Shoes Black,"Unisex Kids Advantage Base 2.0 Shoes, Black",67.0,USD,6030000.0,LBP,67.0,67.0,6030000.0,6030000.0,True,tie,tie,same_price,0.0,0.0
ID5271,Adidas Grand Court 2 Infant Unisex Sportswear Shoes White/Black,"Kids Unisex Grand Court 2.0 Shoes, White",54.0,USD,4860000.0,LBP,54.0,54.0,4860000.0,4860000.0,True,tie,tie,same_price,0.0,0.0
ID5286,Adidas Advantage Infant-Unisex Sportswear Shoes White/Green,"Unisex Kids Advantage Shoes, White",54.0,USD,4860000.0,LBP,54.0,54.0,4860000.0,4860000.0,True,tie,tie,same_price,0.0,0.0
ID6316,Adidas Questar 3 Men Running Shoes Black/Grey,"Questar 3 Running Shoes, Black",121.0,USD,10890000.0,LBP,121.0,121.0,10890000.0,10890000.0,True,tie,tie,same_price,0.0,0.0
ID8754,Adidas Galaxy 7 Men Running Shoes Silver/Carbon/Black,"Galaxy 7 Running Shoes, Grey",80.0,USD,7200000.0,LBP,80.0,80.0,7200000.0,7200000.0,True,tie,tie,same_price,0.0,0.0
ID8757,Adidas Galaxy 7 Men Running Shoes Black,"Galaxy 7 Running Shoes, Black",80.0,USD,7200000.0,LBP,80.0,80.0,7200000.0,7200000.0,True,tie,tie,same_price,0.0,0.0
ID8763,Adidas Galaxy 7 Women Running Shoes Black/Pink/Carbon,"Galaxy 7 Running Shoes, Black",80.0,USD,7200000.0,LBP,80.0,80.0,7200000.0,7200000.0,True,tie,tie,same_price,0.0,0.0
ID8764,Adidas Galaxy 7 Women Running Shoes Black,"Galaxy 7 Running Shoes, Black",80.0,USD,7200000.0,LBP,80.0,80.0,7200000.0,7200000.0,True,tie,tie,same_price,0.0,0.0
IE5985,Adidas Tensaur Run 2.0 Ps-Boys Sportswear Shoes Core Black,"Unisex Kids Tensaur Run 2.0 Shoes, Black",56.0,USD,5040000.0,LBP,56.0,56.0,5040000.0,5040000.0,True,tie,tie,same_price,0.0,0.0
