style_code,comparison_match_type,comparison_availability_relation,comparison_sale_relation,comparison_category_overlap,comparison_category_overlap_values,comparison_gender_overlap,comparison_gender_overlap_values,comparison_colorway_overlap,comparison_colorway_overlap_values,comparison_price_status,comparison_currency_match,comparison_fx_rate_lbp_per_usd,comparison_same_current_price,comparison_current_price_diff,comparison_current_price_diff_usd,comparison_current_price_diff_lbp,comparison_current_price_diff_pct_vs_adidas,comparison_current_price_diff_pct_vs_adidas_usd,comparison_current_price_relation,comparison_cheaper_retailer,comparison_same_discount_pct,comparison_discount_pct_diff,comparison_discount_relation,comparison_higher_discount_retailer,mikesport_row_count,mikesport_has_duplicate_rows,mikesport_product_name,mikesport_product_names,mikesport_source_url,mikesport_source_urls,mikesport_source_url_count,mikesport_category,mikesport_categories,mikesport_gender_target,mikesport_gender_targets,mikesport_colorway,mikesport_colorways,mikesport_availability_summary,mikesport_availability_values,mikesport_in_stock_count,mikesport_out_of_stock_count,mikesport_unknown_stock_count,mikesport_sizes_available,mikesport_sizes_count,mikesport_currency,mikesport_currency_values,mikesport_current_price_min,mikesport_current_price_max,mikesport_current_price_min_usd,mikesport_current_price_max_usd,mikesport_current_price_min_lbp,mikesport_current_price_max_lbp,mikesport_regular_price_min,mikesport_regular_price_max,mikesport_regular_price_min_usd,mikesport_regular_price_max_usd,mikesport_regular_price_min_lbp,mikesport_regular_price_max_lbp,mikesport_sale_price_min,mikesport_sale_price_max,mikesport_sale_price_min_usd,mikesport_sale_price_max_usd,mikesport_sale_price_min_lbp,mikesport_sale_price_max_lbp,mikesport_discount_pct_min,mikesport_discount_pct_max,mikesport_any_on_sale,mikesport_all_on_sale,adidas_row_count,adidas_has_duplicate_rows,adidas_product_name,adidas_product_names,adidas_source_url,adidas_source_urls,adidas_source_url_count,adidas_category,adidas_categories,adidas_gender_target,adidas_gender_targets,adidas_colorway,adidas_colorways,adidas_availability_summary,adidas_availability_values,adidas_in_stock_count,adidas_out_of_stock_count,adidas_unknown_stock_count,adidas_sizes_available,adidas_sizes_count,adidas_currency,adidas_currency_values,adidas_current_price_min,adidas_current_price_max,adidas_current_price_min_usd,adidas_current_price_max_usd,adidas_current_price_min_lbp,adidas_current_price_max_lbp,adidas_regular_price_min,adidas_regular_price_max,adidas_regular_price_min_usd,adidas_regular_price_max_usd,adidas_regular_price_min_lbp,adidas_regular_price_max_lbp,adidas_sale_price_min,adidas_sale_price_max,adidas_sale_price_min_usd,adidas_sale_price_max_usd,adidas_sale_price_min_lbp,adidas_sale_price_max_lbp,adidas_discount_pct_min,adidas_discount_pct_max,adidas_any_on_sale,adidas_all_on_sale,comparison_notes
B75806,exact_style_code,both_in_stock,neither_on_sale,False,,False,,False,,normalized_compare,False,90000.0,True,0.0,0.0,0.0,0.0,0.0,same_price,tie,True,0.0,neither_discounted,tie,1,False,Adidas Samba Og Unisex Original Shoes White/Black/Gum,Adidas Samba Og Unisex Original Shoes White/Black/Gum,https://lb.mikesport.com/products/adidas-samba-og-unisex-original-shoes-white-black-gum,https://lb.mikesport.com/products/adidas-samba-og-unisex-original-shoes-white-black-gum,1,shoes,shoes,unisex,unisex,Cloud White/Core Black/Gum,Cloud White/Core Black/Gum,in_stock,in_stock,1,0,0,44 2/3 EU | 45 1/3 EU | 46 EU | 36 2/3 EU | 38 EU | 38 2/3 EU | 40 EU | 40 2/3 EU | 41 1/3 EU | 42 EU | 43 1/3 EU | 44 EU,12,USD,USD,159.0,159.0,159.0,159.0,14310000.0,14310000.0,159.0,159.0,159.0,159.0,14310000.0,14310000.0,,,,,,,,,False,False,2,True,"Samba Og Shoes, White","Samba OG Shoes, White | Samba Og Shoes, White",https://www.adidas.com.lb/en/adidas-outlet-samba-og-shoes-white/A9_B75806_ONE.html,https://www.adidas.com.lb/en/adidas-samba-og-shoes-white/A7_B75806_ONE.html | https://www.adidas.com.lb/en/adidas-outlet-samba-og-shoes-white/A9_B75806_ONE.html,2,Samba Shoes,Originals | Samba Shoes,,women,White,White,in_stock,in_stock,2,0,0,36 2/3 | 37 1/3 | 38 | 40 | 40 2/3 | 41 1/3 | 42 | 42 2/3 | 43 1/3 | 44 | 44 2/3 | 45 1/3 | 46 | 46 2/3 | 47 1/3 | 36,16,LBP,LBP,14310000.0,14310000.0,159.0,159.0,14310000.0,14310000.0,14310000.0,14310000.0,159.0,159.0,14310000.0,14310000.0,,,,,,,,,False,False,Neither retailer currently shows a discount for this style code.
B75807,exact_style_code,both_in_stock,neither_on_sale,False,,False,,False,,normalized_compare,False,90000.0,True,0.0,0.0,0.0,0.0,0.0,same_price,tie,True,0.0,neither_discounted,tie,1,False,Adidas Samba Og Unixes Original Shoes Black/White/ Gum,Adidas Samba Og Unixes Original Shoes Black/White/ Gum,https://lb.mikesport.com/products/adidas-samba-og-men-original-shoes-black-white-gum,https://lb.mikesport.com/products/adidas-samba-og-men-original-shoes-black-white-gum,1,shoes,shoes,unisex,unisex,Black/White/Gum,Black/White/Gum,in_stock,in_stock,1,0,0,44 2/3 EU | 45 1/3 EU | 37 1/3 EU | 40 EU | 40 2/3 EU | 42 EU | 42 2/3 EU | 43 1/3 EU | 44 EU,9,USD,USD,159.0,159.0,159.0,159.0,14310000.0,14310000.0,159.0,159.0,159.0,159.0,14310000.0,14310000.0,,,,,,,,,False,False,2,True,"Samba OG Shoes, Black","Samba OG Shoes, Black",https://www.adidas.com.lb/en/adidas-outlet-samba-og-shoes-black/A9_B75807_ONE.html,https://www.adidas.com.lb/en/adidas-samba-og-shoes-black/A7_B75807_ONE.html | https://www.adidas.com.lb/en/adidas-outlet-samba-og-shoes-black/A9_B75807_ONE.html,2,Samba Shoes,Originals | Samba Shoes,,men,Black,Black,in_stock,in_stock,2,0,0,36 | 36 2/3 | 37 1/3 | 38 | 38 2/3 | 39 1/3 | 40 | 40 2/3 | 42 | 42 2/3 | 43 1/3 | 44 | 44 2/3 | 45 1/3 | 46 | 46 2/3 | 48 | 48 2/3,18,LBP,LBP,14310000.0,14310000.0,159.0,159.0,14310000.0,14310000.0,14310000.0,14310000.0,159.0,159.0,14310000.0,14310000.0,,,,,,,,,False,False,Neither retailer currently shows a discount for this style code.
BB5476,exact_style_code,both_in_stock,neither_on_sale,False,,True,men,False,,normalized_compare,False,90000.0,True,0.0,0.0,0.0,0.0,0.0,same_price,tie,True,0.0,neither_discounted,tie,1,False,Adidas Gazelle Men Original Shoes Black/White/Gold,Adidas Gazelle Men Original Shoes Black/White/Gold,https://lb.mikesport.com/products/adidas-gazelle-men-original-shoes-black-white-gold,https://lb.mikesport.com/products/adidas-gazelle-men-original-shoes-black-white-gold,1,shoes,shoes,men,men,s and slightly wider proportions. A nubuck upper gives these shoes a smooth touch and soft feel. Highlights: Regular fit Lace closure Enjoy the comfort and performance of OrthoLite® sockliner Composition: Nubuck Upper with Synthetic Leather Overlays Textile Lining Rubber Outsole Color: Black/White/Gold,s and slightly wider proportions. A nubuck upper gives these shoes a smooth touch and soft feel. Highlights: Regular fit Lace closure Enjoy the comfort and performance of OrthoLite® sockliner Composition: Nubuck Upper with Synthetic Leather Overlays Textile Lining Rubber Outsole Color: Black/White/Gold,in_stock,in_stock,1,0,0,44 2/3 EU,1,USD,USD,159.0,159.0,159.0,159.0,14310000.0,14310000.0,159.0,159.0,159.0,159.0,14310000.0,14310000.0,,,,,,,,,False,False,1,False,"Gazelle Shoes, Black","Gazelle Shoes, Black",https://www.adidas.com.lb/en/adidas-gazelle-shoes-black/A7_BB5476_ONE.html,https://www.adidas.com.lb/en/adidas-gazelle-shoes-black/A7_BB5476_ONE.html,1,Originals,Originals,men,men,Black,Black,in_stock,in_stock,1,0,0,40 2/3 | 42 | 42 2/3 | 43 1/3 | 44 | 44 2/3 | 45 1/3 | 46,8,LBP,LBP,14310000.0,14310000.0,159.0,159.0,14310000.0,14310000.0,14310000.0,14310000.0,159.0,159.0,14310000.0,14310000.0,,,,,,,,,False,False,Neither retailer currently shows a discount for this style code.
DB3021,exact_style_code,both_in_stock,neither_on_sale,False,,True,men,False,,normalized_compare,False,90000.0,True,0.0,0.0,0.0,0.0,0.0,same_price,tie,True,0.0,neither_discounted,tie,1,False,Adidas Handball Spezial Men Original Shoes Black/White/Gum,Adidas Handball Spezial Men Original Shoes Black/White/Gum,https://lb.mikesport.com/products/adidas-handball-spezial-men-original-shoes-black-white-gum,https://lb.mikesport.com/products/adidas-handball-spezial-men-original-shoes-black-white-gum,1,shoes,shoes,men,men,Black/White/Gum,Black/White/Gum,in_stock,in_stock,1,0,0,42 2/3 EU,1,USD,USD,159.0,159.0,159.0,159.0,14310000.0,14310000.0,159.0,159.0,159.0,159.0,14310000.0,14310000.0,,,,,,,,,False,False,1,False,"Handball Spezial Shoes, Black","Handball Spezial Shoes, Black",https://www.adidas.com.lb/en/adidas-handball-spezial-shoes-black/A7_DB3021_ONE.html,https://www.adidas.com.lb/en/adidas-handball-spezial-shoes-black/A7_DB3021_ONE.html,1,Originals,Originals,men,men,Black,Black,in_stock,in_stock,1,0,0,36 2/3 | 37 1/3 | 38 | 38 2/3 | 42 | 42 2/3 | 43 1/3 | 44 | 44 2/3 | 45 1/3 | 46,11,LBP,LBP,14310000.0,14310000.0,159.0,159.0,14310000.0,14310000.0,14310000.0,14310000.0,159.0,159.0,14310000.0,14310000.0,,,,,,,,,False,False,Neither retailer currently shows a discount for this style code.
DZ9365,exact_style_code,both_in_stock,mikesport_only_on_sale,False,,True,unisex,False,,normalized_compare,False,90000.0,False,-5.0,-5.0,-450000.0,-27.78,-27.78,mikesport_cheaper,mikesport_lb,False,27.78,mikesport_only_discounted,mikesport_lb,1,False,Adidas Cushioning Ankle 3Pp Unisex Training Sock White,Adidas Cushioning Ankle 3Pp Unisex Training Sock White,https://lb.mikesport.com/products/adidas-cush-ank-3pp-unisex-training-sock-white-dz9365,https://lb.mikesport.com/products/adidas-cush-ank-3pp-unisex-training-sock-white-dz9365,1,sock,sock,unisex,unisex,White,White,in_stock,in_stock,1,0,0,M | S | XS,3,USD,USD,13.0,13.0,13.0,13.0,1170000.0,1170000.0,18.0,18.0,18.0,18.0,1620000.0,1620000.0,13.0,13.0,13.0,13.0,1170000.0,1170000.0,27.78,27.78,True,True,1,False,"Unisex Cushioned Ankle Socks 3 Pairs, Multicolour","Unisex Cushioned Ankle Socks 3 Pairs, Multicolour",https://www.adidas.com.lb/en/outlet-adidas-unisex-cushioned-ankle-socks-3-pairs-multicolour/A9_DZ9365_ONE.html,https://www.adidas.com.lb/en/outlet-adidas-unisex-cushioned-ankle-socks-3-pairs-multicolour/A9_DZ9365_ONE.html,1,Accessories,Accessories,unisex,unisex,Multicolour,Multicolour,in_stock,in_stock,1,0,0,34-36 | 37-39,2,LBP,LBP,1620000.0,1620000.0,18.0,18.0,1620000.0,1620000.0,1620000.0,1620000.0,18.0,18.0,1620000.0,1620000.0,,,,,,,,,False,False,
DZ9435,exact_style_code,both_in_stock,mikesport_only_on_sale,False,,True,unisex,True,White,normalized_compare,False,90000.0,False,-5.0,-5.0,-450000.0,-27.78,-27.78,mikesport_cheaper,mikesport_lb,False,27.78,mikesport_only_discounted,mikesport_lb,1,False,Adidas Unisex Training Dz9435 Light Ank 3Pp White/White/White,Adidas Unisex Training Dz9435 Light Ank 3Pp White/White/White,https://lb.mikesport.com/products/adidas-unisex-training-dz9435-light-ank-3pp-white-white-white,https://lb.mikesport.com/products/adidas-unisex-training-dz9435-light-ank-3pp-white-white-white,1,sock,sock,unisex,unisex,White,White,in_stock,in_stock,1,0,0,XS,1,USD,USD,13.0,13.0,13.0,13.0,1170000.0,1170000.0,18.0,18.0,18.0,18.0,1620000.0,1620000.0,13.0,13.0,13.0,13.0,1170000.0,1170000.0,27.78,27.78,True,True,1,False,"Unisex Ankle Socks 3 Pairs, White","Unisex Ankle Socks 3 Pairs, White",https://www.adidas.com.lb/en/adidas-outlet-unisex-ankle-socks-3-pairs-white/A9_DZ9435_ONE.html,https://www.adidas.com.lb/en/adidas-outlet-unisex-ankle-socks-3-pairs-white/A9_DZ9435_ONE.html,1,Accessories,Accessories,unisex,unisex,White,White,in_stock,in_stock,1,0,0,34-36 | 31-33,2,LBP,LBP,1620000.0,1620000.0,18.0,18.0,1620000.0,1620000.0,1620000.0,1620000.0,18.0,18.0,1620000.0,1620000.0,,,,,,,,,False,False,
EG2041,exact_style_code,both_in_stock,both_on_sale,False,,True,men,False,,normalized_compare,False,90000.0,False,-4.0,-4.0,-360000.0,-16.67,-16.67,mikesport_cheaper,mikesport_lb,False,12.23,mikesport_higher_discount,mikesport_lb,1,False,Adidas Eezay Flip Flop Men Swim Slippers Blue Eg2041,Adidas Eezay Flip Flop Men Swim Slippers Blue Eg2041,https://lb.mikesport.com/products/adidas-eezay-flip-flop-men-swim-slippers-blue-eg2041,https://lb.mikesport.com/products/adidas-eezay-flip-flop-men-swim-slippers-blue-eg2041,1,slippers,slippers,men,men,,,in_stock,in_stock,1,0,0,38 EU,1,USD,USD,20.0,20.0,20.0,20.0,1800000.0,1800000.0,38.0,38.0,38.0,38.0,3420000.0,3420000.0,20.0,20.0,20.0,20.0,1800000.0,1800000.0,47.37,47.37,True,True,1,False,"Eezay Flip-Flops, Blue","Eezay Flip-Flops, Blue",https://www.adidas.com.lb/en/adidas-outlet-eezay-flip-flops-blue/A9_EG2041_ONE.html,https://www.adidas.com.lb/en/adidas-outlet-eezay-flip-flops-blue/A9_EG2041_ONE.html,1,Shoes,Shoes,men,men,Blue,Blue,in_stock,in_stock,1,0,0,40 2/3 | 42 | 43 1/3 | 44 2/3,4,LBP,LBP,2160000.0,2160000.0,24.0,24.0,2160000.0,2160000.0,3330000.0,3330000.0,37.0,37.0,3330000.0,3330000.0,2160000.0,2160000.0,24.0,24.0,2160000.0,2160000.0,35.14,35.14,True,True,
EG4958,exact_style_code,both_in_stock,both_on_sale,False,,False,,False,,normalized_compare,False,90000.0,False,23.0,23.0,2070000.0,28.75,28.75,adidas_cheaper,adidas_lb,False,-14.47,adidas_higher_discount,adidas_lb,1,False,Adidas Superstar Unisex Original Shoes Whte,Adidas Superstar Unisex Original Shoes Whte,https://lb.mikesport.com/products/adidas-superstar-men-original-shoes-whte,https://lb.mikesport.com/products/adidas-superstar-men-original-shoes-whte,1,espadrilles,espadrilles,unisex,unisex,,,in_stock,in_stock,1,0,0,44 2/3 EU | 46 2/3 EU,2,USD,USD,103.0,103.0,103.0,103.0,9270000.0,9270000.0,159.0,159.0,159.0,159.0,14310000.0,14310000.0,103.0,103.0,103.0,103.0,9270000.0,9270000.0,35.22,35.22,True,True,1,False,"Superstar Shoes, White","Superstar Shoes, White",https://www.adidas.com.lb/en/adidas-outlet-superstar-shoes-white/A9_EG4958_ONE.html,https://www.adidas.com.lb/en/adidas-outlet-superstar-shoes-white/A9_EG4958_ONE.html,1,Superstar,Superstar,,,White,White,in_stock,in_stock,1,0,0,36 | 36 2/3 | 43 1/3 | 44 | 44 2/3 | 45 1/3,6,LBP,LBP,7200000.0,7200000.0,80.0,80.0,7200000.0,7200000.0,14310000.0,14310000.0,159.0,159.0,14310000.0,14310000.0,7200000.0,7200000.0,80.0,80.0,7200000.0,7200000.0,49.69,49.69,True,True,
F35542,exact_style_code,both_in_stock,neither_on_sale,False,,False,,False,,normalized_compare,False,90000.0,False,1.0,1.0,90000.0,2.7,2.7,adidas_cheaper,adidas_lb,True,0.0,neither_discounted,tie,1,False,Adidas Adilette Aqua Men Swim Slippers Dark Blue,Adidas Adilette Aqua Men Swim Slippers Dark Blue,https://lb.mikesport.com/products/adidas-adilette-aqua-men-swim-slippers-dark-blue,https://lb.mikesport.com/products/adidas-adilette-aqua-men-swim-slippers-dark-blue,1,slippers,slippers,men,men,Dark Blue / Cloud White / Dark Blue,Dark Blue / Cloud White / Dark Blue,in_stock,in_stock,1,0,0,44 2/3 EU | 46 EU | 47 1/3 EU | 48 2/3 EU | 39 1/3 EU | 40 2/3 EU | 42 EU | 43 1/3 EU,8,USD,USD,38.0,38.0,38.0,38.0,3420000.0,3420000.0,38.0,38.0,38.0,38.0,3420000.0,3420000.0,,,,,,,,,False,False,1,False,"Unisex Adilette Aqua Slides, Blue","Unisex Adilette Aqua Slides, Blue",https://www.adidas.com.lb/en/adidas-unisex-adilette-aqua-slides-blue/A7_F35542_ONE.html,https://www.adidas.com.lb/en/adidas-unisex-adilette-aqua-slides-blue/A7_F35542_ONE.html,1,Slides & Slippers,Slides & Slippers,unisex,unisex,Blue,Blue,in_stock,in_stock,1,0,0,36 2/3 | 38 | 39 1/3 | 40 2/3 | 42 | 43 1/3 | 46 | 47 1/3,8,LBP,LBP,3330000.0,3330000.0,37.0,37.0,3330000.0,3330000.0,3330000.0,3330000.0,37.0,37.0,3330000.0,3330000.0,,,,,,,,,False,False,Neither retailer currently shows a discount for this style code.
F35550,exact_style_code,both_in_stock,neither_on_sale,False,,True,unisex,True,Black,normalized_compare,False,90000.0,False,1.0,1.0,90000.0,2.7,2.7,adidas_cheaper,adidas_lb,True,0.0,neither_discounted,tie,1,False,Adidas Adilette Aqua Unisex Sportswear Slippers Black,Adidas Adilette Aqua Unisex Sportswear Slippers Black,https://lb.mikesport.com/products/adidas-adilette-aqua-unisex-sportswear-slippers-black,https://lb.mikesport.com/products/adidas-adilette-aqua-unisex-sportswear-slippers-black,1,slippers,slippers,unisex,unisex,Black,Black,in_stock,in_stock,1,0,0,44 2/3 EU | 39 1/3 EU,2,USD,USD,38.0,38.0,38.0,38.0,3420000.0,3420000.0,38.0,38.0,38.0,38.0,3420000.0,3420000.0,,,,,,,,,False,False,1,False,"Unisex Adilette Aqua Slides, Black","Unisex Adilette Aqua Slides, Black",https://www.adidas.com.lb/en/adidas-unisex-adilette-aqua-slides-black/A7_F35550_ONE.html,https://www.adidas.com.lb/en/adidas-unisex-adilette-aqua-slides-black/A7_F35550_ONE.html,1,Swimming,Swimming,unisex,unisex,Black,Black,in_stock,in_stock,1,0,0,38 | 39 1/3 | 42 | 43 1/3 | 44 2/3,5,LBP,LBP,3330000.0,3330000.0,37.0,37.0,3330000.0,3330000.0,3330000.0,3330000.0,37.0,37.0,3330000.0,3330000.0,,,,,,,,,False,False,Neither retailer currently shows a discount for this style code.
