month,month_name,revenue_usd,cogs_usd,gross_profit_usd,gross_margin_pct,fixed_opex_usd,variable_opex_usd,total_opex_usd,ebitda_usd,inventory_restock_usd,net_cash_movement_usd,cumulative_cash_usd
1,Jan,68096.95,34048.47,34048.48,50.0,3500,4203.73,7703.73,26344.75,20429.08,5915.67,5915.67
2,Feb,80478.21,40239.11,40239.1,50.0,3500,4946.61,8446.61,31792.49,24143.47,7649.02,13564.69
3,Mar,92859.48,46429.74,46429.74,50.0,3500,5689.48,9189.48,37240.26,27857.84,9382.42,22947.11
4,Apr,111431.37,55715.68,55715.69,50.0,3500,6803.8,10303.8,45411.89,33429.41,11982.48,34929.59
5,May,117622.0,58811.0,58811.0,50.0,3500,7175.24,10675.24,48135.76,35286.6,12849.16,47778.75
6,Jun,123812.63,61906.32,61906.31,50.0,3500,7546.68,11046.68,50859.63,37143.79,13715.84,61494.59
7,Jul,111431.37,55715.68,55715.69,50.0,3500,6803.8,10303.8,45411.89,33429.41,11982.48,73477.07
8,Aug,136193.9,68096.95,68096.95,50.0,3500,8289.56,11789.56,56307.39,40858.17,15449.22,88926.29
9,Sep,123812.63,61906.32,61906.31,50.0,3500,7546.68,11046.68,50859.63,37143.79,13715.84,102642.13
10,Oct,92859.48,46429.74,46429.74,50.0,3500,5689.48,9189.48,37240.26,27857.84,9382.42,112024.55
11,Nov,86668.84,43334.42,43334.42,50.0,3500,5318.05,8818.05,34516.37,26000.65,8515.72,120540.27
12,Dec,92859.48,46429.74,46429.74,50.0,3500,5689.48,9189.48,37240.26,27857.84,9382.42,129922.69
