product_key,brand,style_code,product_name,competitor_name,competitor_price_usd,competitor_sale_price_usd,is_on_sale,availability,scraped_at
TYR|IN239711,TYR,IN239711,Tyr Diamondfit Women Swimming Monokini Black,mikesport,100.0,,False,out_of_stock,2026-04-10T14:13:55Z
TYR|IN239030,TYR,IN239030,Tyr Hexa Trinityfit Women Swim Monokini Navy/White,mikesport,108.0,,False,in_stock,2026-04-10T14:13:55Z
TYR|IN239029,TYR,IN239029,Tyr Hexa Trinityfit Women Swim Monokini Black/Blue,mikesport,108.0,,False,in_stock,2026-04-10T14:13:55Z
TYR|IN239028,TYR,IN239028,Tyr Solid Cutoutfit Women Swim Monokini Black,mikesport,100.0,,False,in_stock,2026-04-10T14:13:55Z
TYR|IN239027,TYR,IN239027,Tyr Solid Square Leg Men Swim Tight Navy,mikesport,70.0,,False,in_stock,2026-04-10T14:13:55Z
TYR|IN239026,TYR,IN239026,Tyr Solid Square Leg Men Swim Tight Black,mikesport,70.0,,False,in_stock,2026-04-10T14:13:55Z
TYR|IN239025,TYR,IN239025,Tyr Solid Jammer Men Swim Tight Navy,mikesport,80.0,,False,in_stock,2026-04-10T14:13:55Z
TYR|IN239024,TYR,IN239024,Tyr Solid Jammer Men Swim Tight Black,mikesport,80.0,,False,in_stock,2026-04-10T14:13:55Z
TYR|IN239023,TYR,IN239023,Tyr Solid Men Swim Tight Navy,mikesport,60.0,,False,in_stock,2026-04-10T14:13:55Z
TYR|IN239022,TYR,IN239022,Tyr Solid Men Swim Tight Black,mikesport,60.0,,False,in_stock,2026-04-10T14:13:55Z
TYR|IN239021,TYR,IN239021,Tyr Solid Durafast Elite Fem Maxfit Women Swim Monokini Black,mikesport,108.0,,False,in_stock,2026-04-10T14:13:55Z
TYR|IN239020,TYR,IN239020,Tyr Tactical Unisex Swim Backpack Black,mikesport,180.0,,False,in_stock,2026-04-10T14:13:55Z
TYR|IN239019,TYR,IN239019,Tyr Vecta Racing Unisex Swim Goggles Smoke/Red/Black,mikesport,33.0,,False,in_stock,2026-04-10T14:13:55Z
TYR|IN239018,TYR,IN239018,Tyr Vecta Racing Unisex Swim Goggles Smoke/Black,mikesport,33.0,,False,in_stock,2026-04-10T14:13:55Z
TYR|IN239017,TYR,IN239017,Tyr Tracer X Rzr Racing Unisex Swim Goggles Smoke/Black,mikesport,82.0,,False,in_stock,2026-04-10T14:13:55Z
