product_key,sku_id,brand,style_code,catalog_product_name,retail_price_usd,match_type,match_score,matched_products_count,match_reason,competitor_min_price_usd,competitor_avg_price_usd,competitor_max_price_usd,num_competitors,competitors_on_sale_count,competitors_on_sale_ratio,competitors_in_stock_count,competitors_out_of_stock_count,latest_scraped_at,cheapest_competitor_name,has_competitor_data,data_freshness_hours
ADIDAS|B75807,SP-E1745BC3E3,ADIDAS,B75807,"Samba OG Shoes, Black",160.83,exact_style,1.0,2,same normalized brand and style_code,159.0,159.0,159.0,2,0,0.0,2,0,2026-04-10T14:37:54Z,adidas_lb,1,1077.48
ADIDAS|BB5476,SP-4665CFBB2F,ADIDAS,BB5476,"Gazelle Shoes, Black",172.26,exact_style,1.0,2,same normalized brand and style_code,159.0,159.0,159.0,2,0,0.0,2,0,2026-04-10T14:25:17Z,adidas_lb,1,1077.69
ADIDAS|DB3021,SP-0590004E40,ADIDAS,DB3021,"Handball Spezial Shoes, Black",152.94,exact_style,1.0,2,same normalized brand and style_code,159.0,159.0,159.0,2,0,0.0,2,0,2026-04-10T14:25:19Z,adidas_lb,1,1077.69
ADIDAS|DZ9435,SP-2F2652299B,ADIDAS,DZ9435,Adidas Unisex Training Dz9435 Light Ank 3Pp White/White/White,19.62,exact_style,1.0,2,same normalized brand and style_code,13.0,15.5,18.0,2,1,0.5,2,0,2026-04-10T14:38:10Z,mikesport,1,1077.48
ADIDAS|FM9931,SP-04B3889425,ADIDAS,FM9931,Adidas Performance 0.75 Unisex Training Water Bottle Black,14.43,exact_style,1.0,2,same normalized brand and style_code,13.0,13.0,13.0,2,0,0.0,2,0,2026-04-10T14:38:24Z,adidas_lb,1,1077.47
ADIDAS|GK9950,SP-F067DCDACE,ADIDAS,GK9950,"AEROREADY Essentials Regular-Fit 3-Stripes Track Suit, Black",85.64,exact_style,1.0,1,same normalized brand and style_code,84.0,84.0,84.0,1,1,1.0,1,0,2026-04-10T14:39:20Z,adidas_lb,1,1077.46
ADIDAS|GL0723,SP-154D0C8A2D,ADIDAS,GL0723,"3 Stripes Leggings, Black",37.8,exact_style,1.0,1,same normalized brand and style_code,35.0,35.0,35.0,1,1,1.0,1,0,2026-04-10T14:39:24Z,adidas_lb,1,1077.46
ADIDAS|H37774,SP-EE94F7E634,ADIDAS,H37774,"Adicolor Classics Tricot Skirt, Black",12.36,exact_style,1.0,1,same normalized brand and style_code,13.0,13.0,13.0,1,1,1.0,1,0,2026-04-10T14:41:58Z,adidas_lb,1,1077.41
ADIDAS|HE4146,SP-749D462018,ADIDAS,HE4146,"Studio Lounge Rib Jumpsuit, Green",23.57,exact_style,1.0,1,same normalized brand and style_code,21.0,21.0,21.0,1,1,1.0,1,0,2026-04-10T14:43:27Z,adidas_lb,1,1077.39
ADIDAS|HE4408,SP-F4341B2295,ADIDAS,HE4408,"AEROREADY Essentials Regular-Fit 3-Stripes Track Suit, Blue",93.87,exact_style,1.0,1,same normalized brand and style_code,84.0,84.0,84.0,1,1,1.0,1,0,2026-04-10T14:43:28Z,adidas_lb,1,1077.39
ADIDAS|HL9308,SP-21EC9D6B2F,ADIDAS,HL9308,"Adicolor Classics Poplin Skirt, Blue",31.58,exact_style,1.0,1,same normalized brand and style_code,32.0,32.0,32.0,1,1,1.0,1,0,2026-04-10T14:44:47Z,adidas_lb,1,1077.37
ADIDAS|HM4975,SP-C031FC9456,ADIDAS,HM4975,Adidas All Court 3.0 Unisex Basketball Ball Wood/Black,43.08,exact_style,1.0,2,same normalized brand and style_code,41.0,41.3333,42.0,2,0,0.0,2,0,2026-04-10T14:45:00Z,adidas_lb,1,1077.36
ADIDAS|HQ6041,SP-EA1A90B4B8,ADIDAS,HQ6041,Adidas Stan Smith Millencon Lifestyle Women,82.8,exact_style,1.0,2,same normalized brand and style_code,61.0,74.5,88.0,2,2,1.0,2,0,2026-04-10T14:45:58Z,tchooz,1,1077.35
ADIDAS|HS1747,SP-C3695075E8,ADIDAS,HS1747,"3 Bar Logo Swimsuit, Black",17.0,exact_style,1.0,1,same normalized brand and style_code,16.0,16.0,16.0,1,1,1.0,1,0,2026-04-10T14:46:59Z,adidas_lb,1,1077.33
ADIDAS|HT4369,SP-753874965B,ADIDAS,HT4369,"3-Stripes Clx Very-Short-Length Swim Shorts, Blue",35.68,exact_style,1.0,1,same normalized brand and style_code,31.0,31.0,31.0,1,1,1.0,1,0,2026-04-10T14:47:30Z,adidas_lb,1,1077.32
ADIDAS|IB7705,SP-24D24979D7,ADIDAS,IB7705,"3-Stripes Swimsuit, Black",22.97,exact_style,1.0,1,same normalized brand and style_code,23.0,23.0,23.0,1,1,1.0,1,0,2026-04-10T14:49:16Z,adidas_lb,1,1077.29
ADIDAS|ID0478,SP-3FB5CF5912,ADIDAS,ID0478,"Samba OG Shoes, Beige",140.14,exact_style,1.0,2,same normalized brand and style_code,159.0,159.0,159.0,2,0,0.0,2,0,2026-04-10T14:26:17Z,adidas_lb,1,1077.68
ADIDAS|ID3488,SP-73E4C8CC61,ADIDAS,ID3488,"4Dfwd 3 Running Shoes, Black",157.46,exact_style,1.0,1,same normalized brand and style_code,159.0,159.0,159.0,1,1,1.0,1,0,2026-04-10T14:50:58Z,adidas_lb,1,1077.26
ADIDAS|ID3489,SP-28A4947B98,ADIDAS,ID3489,"4Dfwd 3 Running Shoes, Beige",185.67,exact_style,1.0,1,same normalized brand and style_code,207.0,207.0,207.0,1,1,1.0,1,0,2026-04-10T14:50:58Z,adidas_lb,1,1077.26
ADIDAS|ID3491,SP-DEECA186E7,ADIDAS,ID3491,"4Dfwd 3 Running Shoes, Black",139.54,exact_style,1.0,1,same normalized brand and style_code,127.0,127.0,127.0,1,1,1.0,1,0,2026-04-10T14:50:58Z,adidas_lb,1,1077.26
ADIDAS|ID3499,SP-6C4030E8BF,ADIDAS,ID3499,"4Dfwd 3 Running Shoes, Beige",217.2,exact_style,1.0,1,same normalized brand and style_code,207.0,207.0,207.0,1,1,1.0,1,0,2026-04-10T14:50:59Z,adidas_lb,1,1077.26
ADIDAS|ID8311,SP-0D8F9A9ADA,ADIDAS,ID8311,"4Dfwd 4 Running Shoes, White",182.95,exact_style,1.0,1,same normalized brand and style_code,207.0,207.0,207.0,1,1,1.0,1,0,2026-04-10T14:51:12Z,adidas_lb,1,1077.26
ADIDAS|ID8764,SP-6A627AE57E,ADIDAS,ID8764,Adidas Galaxy 7 Women Running Shoes Black,81.96,exact_style,1.0,2,same normalized brand and style_code,80.0,80.0,80.0,2,0,0.0,2,0,2026-04-10T14:26:31Z,adidas_lb,1,1077.67
ADIDAS|ID8840,SP-C7EF6CC8AF,ADIDAS,ID8840,Adidas Ultraboost 5 Women Running Shoes White/Grey/Pink,139.73,exact_style,1.0,2,same normalized brand and style_code,144.0,147.0,150.0,2,2,1.0,2,0,2026-04-10T14:51:14Z,adidas_lb,1,1077.26
ADIDAS|ID8882,SP-BEDB9977CB,ADIDAS,ID8882,"4Dfwd 4 Running Shoes, Black",154.0,exact_style,1.0,1,same normalized brand and style_code,159.0,159.0,159.0,1,1,1.0,1,0,2026-04-10T14:51:15Z,adidas_lb,1,1077.26
ADIDAS|ID8887,SP-9DB6B598F6,ADIDAS,ID8887,"4Dfwd 4 Running Shoes, White",145.33,exact_style,1.0,1,same normalized brand and style_code,127.0,127.0,127.0,1,1,1.0,1,0,2026-04-10T14:51:15Z,adidas_lb,1,1077.26
ADIDAS|IE5863,SP-3B493D0895,ADIDAS,IE5863,"4DFWD 4 Running Shoes, White",185.33,exact_style,1.0,1,same normalized brand and style_code,159.0,159.0,159.0,1,1,1.0,1,0,2026-04-10T14:51:32Z,adidas_lb,1,1077.26
ADIDAS|IG8980,SP-545229B88B,ADIDAS,IG8980,"4Dfwd 3 Running Shoes, Grey",171.5,exact_style,1.0,1,same normalized brand and style_code,159.0,159.0,159.0,1,1,1.0,1,0,2026-04-10T14:52:41Z,adidas_lb,1,1077.24
ADIDAS|IG8986,SP-48A96BB634,ADIDAS,IG8986,"4DFWD 3 Running Shoes, Black",178.84,exact_style,1.0,1,same normalized brand and style_code,207.0,207.0,207.0,1,1,1.0,1,0,2026-04-10T14:52:42Z,adidas_lb,1,1077.24
ADIDAS|IG8995,SP-745B1972AB,ADIDAS,IG8995,"4Dfwd 3 Running Shoes, Black",255.18,exact_style,1.0,1,same normalized brand and style_code,207.0,207.0,207.0,1,1,1.0,1,0,2026-04-10T14:52:42Z,adidas_lb,1,1077.24
ADIDAS|IG8996,SP-485BDE7E2C,ADIDAS,IG8996,"4Dfwd 3 Running Shoes, Black",224.87,exact_style,1.0,1,same normalized brand and style_code,207.0,207.0,207.0,1,1,1.0,1,0,2026-04-10T14:52:43Z,adidas_lb,1,1077.24
ADIDAS|IG9166,SP-26E1DF3914,ADIDAS,IG9166,"Advantage 2.0 Shoes, White",120.55,exact_style,1.0,2,same normalized brand and style_code,126.0,126.0,126.0,2,0,0.0,2,0,2026-04-10T14:27:08Z,adidas_lb,1,1077.66
ADIDAS|IG9175,SP-265659CA96,ADIDAS,IG9175,"Advantage 2.0 Shoes, White",118.62,exact_style,1.0,2,same normalized brand and style_code,126.0,126.0,126.0,2,0,0.0,2,0,2026-04-10T14:27:09Z,adidas_lb,1,1077.66
ADIDAS|IG9184,SP-C328DB5C58,ADIDAS,IG9184,"Advantage Base 2.0 Shoes, Black",103.9,exact_style,1.0,2,same normalized brand and style_code,95.0,95.5,96.0,2,0,0.0,2,0,2026-04-10T14:27:10Z,adidas_lb,1,1077.66
