sku_id,product_key,brand,style_code,catalog_product_name,product_name,competitor_name,competitor_price,competitor_sale_price,discount_pct,is_on_sale,availability,currency,competitor_price_usd,competitor_sale_price_usd,effective_competitor_price_usd,source_url,scraped_at
SP-A83D634897,BOGNER|IN239502,BOGNER,IN239502,Bogner Paul Men Swim Short Navy Blue,Bogner Paul Men Swim Short Navy Blue,mikesport,183.0,,,False,IN_STOCK,USD,183.0,,183.0,https://lb.mikesport.com/products/bogner-paul-men-swim-short-navy-blue,2026-04-10T14:13:55Z
SP-E45BDB93ED,BOGNER|IN239500,BOGNER,IN239500,Bogner Paul Men Swim Short Black,Bogner Paul Men Swim Short Black,mikesport,183.0,,,False,IN_STOCK,USD,183.0,,183.0,https://lb.mikesport.com/products/bogner-paul-men-swim-short-black,2026-04-10T14:13:55Z
SP-F0B4D9EAF5,ON|IN233453,ON,IN233453,ON Sports Performance Women Running Bra Women Gourami,ON Sports Performance Women Running Bra Women Gourami,mikesport,89.0,,,False,IN_STOCK,USD,89.0,,89.0,https://lb.mikesport.com/products/on-sports-performance-women-running-bra-women-gourami,2026-04-10T14:13:55Z
SP-805D3F1EDC,ON|IN233371,ON,IN233371,ON Men Trail-T Running Tee Reef,ON Men Trail-T Running Tee Reef,mikesport,75.0,,,False,IN_STOCK,USD,75.0,,75.0,https://lb.mikesport.com/products/on-men-trail-t-running-tee-reef,2026-04-10T14:13:55Z
SP-EA820C1A13,ON|IN233369,ON,IN233369,ON Trail-T Men Trail Running Shirt Desert,ON Trail-T Men Trail Running Shirt Desert,mikesport,75.0,,,False,IN_STOCK,USD,75.0,,75.0,https://lb.mikesport.com/products/on-trail-t-men-trail-running-shirt-desert,2026-04-10T14:13:55Z
SP-AADCC2E724,NIKE|IN239482,NIKE,IN239482,Nike Flex Classic 6 Packs Unisex Training Band Multicolor,Nike Flex Classic 6 Packs Unisex Training Band Multicolor,mikesport,14.0,,,False,IN_STOCK,USD,14.0,,14.0,https://lb.mikesport.com/products/nike-flex-classic-6-packs-unisex-training-band-multicolor-1,2026-04-10T14:13:55Z
SP-331574EF21,CROCS|IN236650,CROCS,IN236650,Crocs 3D Coffee Cup Unisex Lifestyle Jibbitz Charm,Crocs 3D Coffee Cup Unisex Lifestyle Jibbitz Charm,mikesport,6.0,,,False,IN_STOCK,USD,6.0,,6.0,https://lb.mikesport.com/products/crocs-3d-coffee-cup-unisex-lifestyle-jibbitz-charm,2026-04-10T14:13:56Z
SP-016FA5F172,NEW BALANCE|IN234925,NEW BALANCE,IN234925,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,New Balance Athletic Premium Logo Relaxed Women Lifestyle Sweatshirt Big Teal,mikesport,75.0,,,False,IN_STOCK,USD,75.0,,75.0,https://lb.mikesport.com/products/new-balance-athletic-premium-logo-relaxed-women-lifestyle-sweatshirt-big-teal,2026-04-10T14:13:57Z
SP-3D39AF9FF6,NEW BALANCE|IN234882,NEW BALANCE,IN234882,New Balance Essential Yoga Women Performance Bra Medusa Green,New Balance Essential Yoga Women Performance Bra Medusa Green,mikesport,59.0,,,False,IN_STOCK,USD,59.0,,59.0,https://lb.mikesport.com/products/new-balance-essential-yoga-women-performance-bra-medusa-green,2026-04-10T14:13:57Z
SP-B79D3FAE0C,NEW BALANCE|IN234677,NEW BALANCE,IN234677,New Balance 47 Clean Up Canvas 2 Men Lifestyle Cap Linen/Medusa Green,New Balance 47 Clean Up Canvas 2 Men Lifestyle Cap Linen/Medusa Green,mikesport,39.0,,,False,IN_STOCK,USD,39.0,,39.0,https://lb.mikesport.com/products/new-balance-47-clean-up-canvas-2-men-lifestyle-cap-linen-medusa-green,2026-04-10T14:13:57Z
SP-E44D80B7EB,ADIDAS|IN235999,ADIDAS,IN235999,Adidas Club Pleat Kids-Girls Tennis Skort White,Adidas Club Pleat Kids-Girls Tennis Skort White,mikesport,61.0,,,False,IN_STOCK,USD,61.0,,61.0,https://lb.mikesport.com/products/adidas-club-pleat-kids-girls-tennis-skort-white,2026-04-10T14:13:58Z
SP-B508115FF9,ON|IN233463,ON,IN233463,On Studio 7/8 Training High Waist Plain Mineral,On Studio 7/8 Training High Waist Plain Mineral,mikesport,145.0,,,False,IN_STOCK,USD,145.0,,145.0,https://lb.mikesport.com/products/on-studio-7-8-training-high-waist-plain-mineral,2026-04-10T14:13:58Z
SP-DF88997BEE,ON|IN233396,ON,IN233396,On 7 Inch Court Tennis 7 Inch Tide,On 7 Inch Court Tennis 7 Inch Tide,mikesport,99.0,,,False,IN_STOCK,USD,99.0,,99.0,https://lb.mikesport.com/products/on-7-inch-court-tennis-7-inch-tide,2026-04-10T14:13:58Z
SP-B7529301C1,ON|IN233395,ON,IN233395,On 7 Inch Court Tennis 7 Inch White,On 7 Inch Court Tennis 7 Inch White,mikesport,99.0,,,False,IN_STOCK,USD,99.0,,99.0,https://lb.mikesport.com/products/on-7-inch-court-tennis-7-inch-white,2026-04-10T14:13:58Z
SP-D62159F18D,CROCS|IN238068,CROCS,IN238068,Crocs Barbie Classic Infant Lifestyle Clog Multi,Crocs Barbie Classic Infant Lifestyle Clog Multi,mikesport,60.0,,,False,IN_STOCK,USD,60.0,,60.0,https://lb.mikesport.com/products/crocs-barbie-classic-infant-lifestyle-clog-multi,2026-04-10T14:13:58Z
SP-ABDA020E90,CROCS|IN238067,CROCS,IN238067,Crocs Barbie Classic Kids Lifestyle Clog Multi,Crocs Barbie Classic Kids Lifestyle Clog Multi,mikesport,66.0,,,False,IN_STOCK,USD,66.0,,66.0,https://lb.mikesport.com/products/crocs-barbie-classic-kids-lifestyle-clog-multi,2026-04-10T14:13:58Z
SP-ECB50BF5E1,CROCS|IN238046,CROCS,IN238046,Crocs 3D Chilling Frog Unisex Lifestyle Jibbitz Charm,Crocs 3D Chilling Frog Unisex Lifestyle Jibbitz Charm,mikesport,6.0,,,False,IN_STOCK,USD,6.0,,6.0,https://lb.mikesport.com/products/crocs-3d-chilling-frog-unisex-lifestyle-jibbitz-charm,2026-04-10T14:13:58Z
SP-7DAC8BE0F9,NIKE|IN237517,NIKE,IN237517,Nike Air Force 1 07 Lv8 Men Lifestyle Shoes Anthracite/Grey,Nike Air Force 1 07 Lv8 Men Lifestyle Shoes Anthracite/Grey,mikesport,225.0,,,False,IN_STOCK,USD,225.0,,225.0,https://lb.mikesport.com/products/nike-air-force-1-07-lv8-men-lifestyle-shoes-anthracite-grey,2026-04-10T14:13:58Z
SP-23392C79BE,NIKE|IN237338,NIKE,IN237338,Nike Air Force 1 '07 Women Lifestyle Shoes Midnight Navy/Black,Nike Air Force 1 '07 Women Lifestyle Shoes Midnight Navy/Black,mikesport,225.0,,,False,IN_STOCK,USD,225.0,,225.0,https://lb.mikesport.com/products/nike-air-force-1-39-07-women-lifestyle-shoes-midnight-navy-black,2026-04-10T14:13:58Z
SP-EF3A3CE8FD,NIKE|IN237225,NIKE,IN237225,Nike Air Force 1 Le Gs-Boys Lifestyle Shoes Black,Nike Air Force 1 Le Gs-Boys Lifestyle Shoes Black,mikesport,174.0,,,False,IN_STOCK,USD,174.0,,174.0,https://lb.mikesport.com/products/nike-air-force-1-le-gs-boys-lifestyle-shoes-black,2026-04-10T14:13:58Z
SP-F272E0B3EC,CROCS|IN236717,CROCS,IN236717,Crocs All Day Men Lifestyle Slippers Black,Crocs All Day Men Lifestyle Slippers Black,mikesport,36.0,,,False,IN_STOCK,USD,36.0,,36.0,https://lb.mikesport.com/products/crocs-all-day-men-lifestyle-slippers-black,2026-04-10T14:13:58Z
SP-7637E3C2FF,NIKE|IN237500,NIKE,IN237500,Nike Fitted Women Training Long Sleeve Black,Nike Fitted Women Training Long Sleeve Black,mikesport,72.0,,,False,IN_STOCK,USD,72.0,,72.0,https://lb.mikesport.com/products/nike-fitted-women-training-long-sleeve-black,2026-04-10T14:13:58Z
SP-5C52EEBFCD,NIKE|IN237334,NIKE,IN237334,Nike Challenger Winterized 12.5Cm Men Running Short Blue,Nike Challenger Winterized 12.5Cm Men Running Short Blue,mikesport,80.0,,,False,IN_STOCK,USD,80.0,,80.0,https://lb.mikesport.com/products/nike-challenger-winterized-12-5cm-men-running-short-blue,2026-04-10T14:13:58Z
SP-6F021B8DA6,NIKE|IN237333,NIKE,IN237333,Nike Challenger Winterized 12.5Cm Men Running Short Pure Platinum,Nike Challenger Winterized 12.5Cm Men Running Short Pure Platinum,mikesport,80.0,,,False,IN_STOCK,USD,80.0,,80.0,https://lb.mikesport.com/products/nike-challenger-winterized-12-5cm-men-running-short-pure-platinum,2026-04-10T14:13:58Z
SP-E70F8AC18A,NIKE|IN237307,NIKE,IN237307,Nike (20L) Boys Lifestyle Backpack Black/Orange/White,Nike (20L) Boys Lifestyle Backpack Black/Orange/White,mikesport,61.0,,,False,IN_STOCK,USD,61.0,,61.0,https://lb.mikesport.com/products/nike-20l-boys-lifestyle-backpack-black-orange-white,2026-04-10T14:13:58Z
SP-E923EE9DF9,NIKE|IN237220,NIKE,IN237220,Nike Academy Team Unisex Football Bag Navy/Black/White,Nike Academy Team Unisex Football Bag Navy/Black/White,mikesport,59.0,,,False,IN_STOCK,USD,59.0,,59.0,https://lb.mikesport.com/products/nike-academy-team-unisex-football-bag-navy-black-white,2026-04-10T14:13:59Z
SP-2F91D09AA8,NIKE|IN235390,NIKE,IN235390,Nike (20L) Girls Lifestyle Backpack Light Magenta,Nike (20L) Girls Lifestyle Backpack Light Magenta,mikesport,61.0,,,False,IN_STOCK,USD,61.0,,61.0,https://lb.mikesport.com/products/nike-20l-girls-lifestyle-backpack-light-magenta,2026-04-10T14:13:59Z
SP-A09457D613,NIKE|IN235324,NIKE,IN235324,Nike Air Force 1 '07 Next Nature Women Lifestyle Shoes White/Linen,Nike Air Force 1 '07 Next Nature Women Lifestyle Shoes White/Linen,mikesport,207.0,,,False,IN_STOCK,USD,207.0,,207.0,https://lb.mikesport.com/products/nike-air-force-1-39-07-next-nature-women-lifestyle-shoes-white-linen,2026-04-10T14:13:59Z
SP-5B19015206,NIKE|IN237354,NIKE,IN237354,Nike Air Force 1 07 Premium Flowers Women Lifestyle Shoes Black/White/Gold,Nike Air Force 1 07 Premium Flowers Women Lifestyle Shoes Black/White/Gold,mikesport,225.0,,,False,IN_STOCK,USD,225.0,,225.0,https://lb.mikesport.com/products/nike-air-force-1-07-premium-flowers-women-lifestyle-shoes-black-white-gold,2026-04-10T14:13:59Z
SP-14615F55C9,NIKE|IN237320,NIKE,IN237320,Nike Club French Terry Open Hem Men Lifestyle Pant Grey/White,Nike Club French Terry Open Hem Men Lifestyle Pant Grey/White,mikesport,89.0,,,False,IN_STOCK,USD,89.0,,89.0,https://lb.mikesport.com/products/nike-club-french-terry-open-hem-men-lifestyle-pant-grey-white,2026-04-10T14:13:59Z
SP-EC9AF8E301,NIKE|IN237263,NIKE,IN237263,Nike Club French Terry Men Lifestyle Pant Grey/White,Nike Club French Terry Men Lifestyle Pant Grey/White,mikesport,89.0,,,False,IN_STOCK,USD,89.0,,89.0,https://lb.mikesport.com/products/nike-club-french-terry-men-lifestyle-pant-grey-white,2026-04-10T14:13:59Z
SP-20E0FF4DDC,NIKE|IN237212,NIKE,IN237212,Nike Air Jordan 1 Low Gs-Girls Lifestyle Shoes Black/White/Pink,Nike Air Jordan 1 Low Gs-Girls Lifestyle Shoes Black/White/Pink,mikesport,164.0,,,False,IN_STOCK,USD,164.0,,164.0,https://lb.mikesport.com/products/nike-air-jordan-1-low-gs-girls-lifestyle-shoes-black-white-pink,2026-04-10T14:13:59Z
SP-B656BCF67E,NIKE|IN235361,NIKE,IN235361,Nike Club Alumni French Terry Men Lifestyle Short Blue/White,Nike Club Alumni French Terry Men Lifestyle Short Blue/White,mikesport,72.0,,,False,IN_STOCK,USD,72.0,,72.0,https://lb.mikesport.com/products/nike-club-alumni-french-terry-men-lifestyle-short-blue-white,2026-04-10T14:13:59Z
SP-7286ED76D8,NIKE|IN235315,NIKE,IN235315,Nike Air Jordan 1 Low Men Lifestyle Shoes Gym Red/White/Black,Nike Air Jordan 1 Low Men Lifestyle Shoes Gym Red/White/Black,mikesport,225.0,,,False,IN_STOCK,USD,225.0,,225.0,https://lb.mikesport.com/products/nike-air-jordan-1-low-men-lifestyle-shoes-gym-red-white-black,2026-04-10T14:13:59Z
SP-87CD96F6B8,NIKE|IN238476,NIKE,IN238476,Nike Brand Energy Infant-Boys Lifestyle Set Black,Nike Brand Energy Infant-Boys Lifestyle Set Black,mikesport,41.0,,,False,IN_STOCK,USD,41.0,,41.0,https://lb.mikesport.com/products/nike-brand-energy-infant-boys-lifestyle-set-black,2026-04-10T14:14:00Z
SP-946B9D03B0,ON|IN233454,ON,IN233454,On 3 Inch Court 2 In 1 Women Tennis Short White,On 3 Inch Court 2 In 1 Women Tennis Short White,mikesport,99.0,,,False,IN_STOCK,USD,99.0,,99.0,https://lb.mikesport.com/products/on-3-inch-court-2-in-1-women-tennis-short-white,2026-04-10T14:14:00Z
SP-63D1F944FA,CROCS|IN236746,CROCS,IN236746,Crocs Bae Pinnacle Embellished Women Lifestyle Clog Frappe,Crocs Bae Pinnacle Embellished Women Lifestyle Clog Frappe,mikesport,168.0,,,False,IN_STOCK,USD,168.0,,168.0,https://lb.mikesport.com/products/crocs-bae-pinnacle-embellished-women-lifestyle-clog-frappe,2026-04-10T14:14:00Z
SP-26CA5937C8,CROCS|IN236719,CROCS,IN236719,Crocs All Day Men Lifestyle Slippers Navy,Crocs All Day Men Lifestyle Slippers Navy,mikesport,36.0,,,False,IN_STOCK,USD,36.0,,36.0,https://lb.mikesport.com/products/crocs-all-day-men-lifestyle-slippers-navy,2026-04-10T14:14:00Z
SP-0A0C5718B8,CROCS|IN236716,CROCS,IN236716,Crocs All Day Women Lifestyle Slippers Powder Pink,Crocs All Day Women Lifestyle Slippers Powder Pink,mikesport,36.0,,,False,IN_STOCK,USD,36.0,,36.0,https://lb.mikesport.com/products/crocs-all-day-women-lifestyle-slippers-powder-pink,2026-04-10T14:14:00Z
SP-1DE83EF0B0,CROCS|IN236715,CROCS,IN236715,Crocs All Day Women Lifestyle Slippers White,Crocs All Day Women Lifestyle Slippers White,mikesport,36.0,,,False,IN_STOCK,USD,36.0,,36.0,https://lb.mikesport.com/products/crocs-all-day-women-lifestyle-slippers-white,2026-04-10T14:14:00Z
SP-CA4D78ABDF,CROCS|IN236714,CROCS,IN236714,Crocs All Day Women Lifestyle Slippers Black,Crocs All Day Women Lifestyle Slippers Black,mikesport,36.0,,,False,IN_STOCK,USD,36.0,,36.0,https://lb.mikesport.com/products/crocs-all-day-women-lifestyle-slippers-black,2026-04-10T14:14:00Z
SP-57E4E0DDE1,CROCS|IN236685,CROCS,IN236685,Crocs Bae Women Lifestyle Clog Quartz,Crocs Bae Women Lifestyle Clog Quartz,mikesport,84.0,,,False,IN_STOCK,USD,84.0,,84.0,https://lb.mikesport.com/products/crocs-bae-women-lifestyle-clog-quartz,2026-04-10T14:14:00Z
SP-7C595F60D7,CROCS|IN236684,CROCS,IN236684,Crocs Bae Women Lifestyle Clog Mauve Mist,Crocs Bae Women Lifestyle Clog Mauve Mist,mikesport,84.0,,,False,IN_STOCK,USD,84.0,,84.0,https://lb.mikesport.com/products/crocs-bae-women-lifestyle-clog-mauve-mist,2026-04-10T14:14:00Z
SP-02EF4F091B,NEW BALANCE|IN238166,NEW BALANCE,IN238166,New Balance Athletics Graffiti Graphic Kids-Girls Lifestyle T-Shirt Caviar/Pink,New Balance Athletics Graffiti Graphic Kids-Girls Lifestyle T-Shirt Caviar/Pink,mikesport,35.0,,,False,IN_STOCK,USD,35.0,,35.0,https://lb.mikesport.com/products/new-balance-athletics-graffiti-graphic-kids-girls-lifestyle-t-shirt-caviar-pink,2026-04-10T14:14:00Z
SP-BB4CF55CF1,NEW BALANCE|IN238153,NEW BALANCE,IN238153,New Balance Athletics Kids-Boys Performanc Short Caviar,New Balance Athletics Kids-Boys Performanc Short Caviar,mikesport,39.0,,,False,IN_STOCK,USD,39.0,,39.0,https://lb.mikesport.com/products/new-balance-athletics-kids-boys-performanc-short-caviar,2026-04-10T14:14:00Z
SP-B87306A6F9,NEW BALANCE|IN234918,NEW BALANCE,IN234918,New Balance Athletics Jersey Women Lifestyle T-Shirt Daybreak,New Balance Athletics Jersey Women Lifestyle T-Shirt Daybreak,mikesport,49.0,,,False,IN_STOCK,USD,49.0,,49.0,https://lb.mikesport.com/products/new-balance-athletics-jersey-women-lifestyle-t-shirt-daybreak,2026-04-10T14:14:00Z
SP-7B8C3CDB88,NEW BALANCE|IN234908,NEW BALANCE,IN234908,New Balance 327 Women Lifestyle Shoes Black/Sea Salt,New Balance 327 Women Lifestyle Shoes Black/Sea Salt,mikesport,169.0,,,False,IN_STOCK,USD,169.0,,169.0,https://lb.mikesport.com/products/new-balance-327-women-lifestyle-shoes-black-sea-salt,2026-04-10T14:14:00Z
SP-E20D71253B,NEW BALANCE|IN234886,NEW BALANCE,IN234886,New Balance 25 Inches Essential High-Rise Women Performance 7/8 Tight Black,New Balance 25 Inches Essential High-Rise Women Performance 7/8 Tight Black,mikesport,59.0,,,False,IN_STOCK,USD,59.0,,59.0,https://lb.mikesport.com/products/new-balance-25-inches-essential-high-rise-women-performance-7-8-tight-black,2026-04-10T14:14:00Z
SP-61E130E733,NEW BALANCE|IN234884,NEW BALANCE,IN234884,New Balance Essential Yoga Women Performance Bra Daybreak,New Balance Essential Yoga Women Performance Bra Daybreak,mikesport,59.0,,,False,IN_STOCK,USD,59.0,,59.0,https://lb.mikesport.com/products/new-balance-essential-yoga-women-performance-bra-daybreak,2026-04-10T14:14:00Z
SP-C80777C682,NEW BALANCE|IN234881,NEW BALANCE,IN234881,New Balance Essential Train Women Performance Bra Black,New Balance Essential Train Women Performance Bra Black,mikesport,65.0,,,False,IN_STOCK,USD,65.0,,65.0,https://lb.mikesport.com/products/new-balance-essential-train-women-performance-bra-black,2026-04-10T14:14:00Z
SP-112F8642D1,NEW BALANCE|IN234839,NEW BALANCE,IN234839,New Balance 327 Women Lifestyle Shoes Black,New Balance 327 Women Lifestyle Shoes Black,mikesport,185.0,,,False,IN_STOCK,USD,185.0,,185.0,https://lb.mikesport.com/products/new-balance-327-women-lifestyle-shoes-black-3,2026-04-10T14:14:00Z
