sku_id,brand,product_name,system_category,gender,retail_price_usd,cost_price_usd,initial_stock,current_stock,inventory_value_at_cost,inventory_value_at_retail,status
SP-6A627AE57E,Adidas,Adidas Galaxy 7 Women Running Shoes Black,footwear,women,81.96,38.4,12,12,460.8,983.52,active
SP-EA1A90B4B8,Adidas,Adidas Stan Smith Millencon Lifestyle Women,footwear,women,82.8,35.76,10,10,357.6,828.0,active
SP-C7EF6CC8AF,Adidas,Adidas Ultraboost 5 Women Running Shoes White/Grey/Pink,footwear,women,139.73,70.56,9,9,635.04,1257.57,active
SP-26E1DF3914,Adidas,"Advantage 2.0 Shoes, White",footwear,men,120.55,60.48,14,14,846.72,1687.7,active
SP-265659CA96,Adidas,"Advantage 2.0 Shoes, White",footwear,women,118.62,60.48,13,13,786.24,1542.06,active
SP-C328DB5C58,Adidas,"Advantage Base 2.0 Shoes, Black",footwear,men,103.9,45.84,10,10,458.4,1039.0,active
SP-1A5E48962B,Adidas,"Barreda Decode Shoes, Black",footwear,men,121.06,60.48,10,10,604.8,1210.6,active
SP-C1FA92617F,Adidas,"Barreda Decode Shoes, Green",footwear,men,123.0,60.48,13,13,786.24,1599.0,active
SP-A2D46F25B1,Adidas,"Barreda Decode Shoes, White",footwear,women,136.18,60.48,13,13,786.24,1770.34,active
SP-C5A9CE6C8D,Adidas,"Barreda Shoes, White",footwear,men,92.69,45.84,14,14,641.76,1297.66,active
SP-8C2C7BFBA1,Adidas,"Grand Court 3.0 Shoes, White",footwear,men,121.49,60.48,14,14,846.72,1700.86,active
SP-CF5BCC0FE2,Adidas,"Response Super Shoes, White",footwear,unisex,89.05,33.12,12,12,397.44,1068.6,active
SP-20E084F9D9,New Balance,New Balance Bb550 Men Lifestyle Shoes Sea Salt/Blue/Angora,footwear,men,107.38,56.35,14,14,788.9,1503.32,active
SP-48A96BB634,Adidas,"4DFWD 3 Running Shoes, Black",footwear,men,178.84,99.36,9,9,894.24,1609.56,active
SP-3B493D0895,Adidas,"4DFWD 4 Running Shoes, White",footwear,men,185.33,76.32,9,9,686.88,1667.97,active
SP-28A4947B98,Adidas,"4Dfwd 3 Running Shoes, Beige",footwear,men,185.67,99.36,9,9,894.24,1671.03,active
SP-6C4030E8BF,Adidas,"4Dfwd 3 Running Shoes, Beige",footwear,women,217.2,99.36,10,10,993.6,2172.0,active
SP-73E4C8CC61,Adidas,"4Dfwd 3 Running Shoes, Black",footwear,men,157.46,76.32,9,9,686.88,1417.14,active
SP-DEECA186E7,Adidas,"4Dfwd 3 Running Shoes, Black",footwear,men,139.54,60.96,9,9,548.64,1255.86,active
