sku_id,product_key,style_code,brand,product_name,system_category,gender,retail_price_usd,cost_price_usd,gross_margin_pct,market_median_price_usd,market_min_price_usd,market_max_price_usd,num_competitors,competitors,num_sizes,initial_stock,availability_ratio,collection_type,fx_rate_used
SP-A01DDE73FB,24BOTTLES|IN196096,IN196096,24Bottles,24Bottles Urban Lifestyle Water Bottle Aqua Green,accessories,unisex,36.47,18.72,48.7,36.0,36.0,36.0,1,mikesport,1,18,0.0,seasonal,90000
SP-9B08BC00D0,24BOTTLES|IN126269,IN126269,24Bottles,24Bottles Urban Lifestyle Water Bottle Grey/Orange,accessories,unisex,35.93,18.72,47.9,36.0,36.0,36.0,1,mikesport,1,18,0.0,seasonal,90000
SP-9C0B2AE86C,24BOTTLES|IN126270,IN126270,24Bottles,24Bottles Urban Lifestyle Water Bottle Ice White,accessories,unisex,40.87,18.72,54.2,36.0,36.0,36.0,1,mikesport,1,18,1.0,core,90000
SP-4D647E8556,24BOTTLES|IN126279,IN126279,24Bottles,24Bottles Urban Lifestyle Water Bottle Lagoon Blue,accessories,unisex,41.12,18.72,54.5,36.0,36.0,36.0,1,mikesport,1,18,1.0,core,90000
SP-059376E716,24BOTTLES|IN184611,IN184611,24Bottles,24Bottles Urban Lifestyle Water Bottle Stone Hot Red,accessories,unisex,36.6,18.72,48.9,36.0,36.0,36.0,1,mikesport,1,18,0.0,seasonal,90000
SP-85E2E2F4C3,24BOTTLES|IN126276,IN126276,24Bottles,24Bottles Urban Lifestyle Water Bottle Taxi Yellow,accessories,unisex,46.42,18.72,59.7,36.0,36.0,36.0,1,mikesport,1,18,0.0,seasonal,90000
SP-21CDE48EE7,24BOTTLES|IN126277,IN126277,24Bottles,24Bottles Urban Lifestyle Water Bottle Total Orange,accessories,unisex,36.93,18.72,49.3,36.0,36.0,36.0,1,mikesport,1,18,0.0,seasonal,90000
SP-94559221CA,24BOTTLES|IN126281,IN126281,24Bottles,24Bottles Urban Unisex Lifestyle Water Bottle Candy Pink,accessories,unisex,35.14,18.72,46.7,36.0,36.0,36.0,1,mikesport,1,18,0.0,seasonal,90000
SP-30307A6114,24BOTTLES|IN185489,IN185489,24Bottles,24Bottles Urban Unisex Lifestyle Water Bottle Tuxedo Black,accessories,unisex,37.23,18.72,49.7,36.0,36.0,36.0,1,mikesport,1,18,0.0,seasonal,90000
SP-7B71998AA9,5-11 BRAND|IN232916,IN232916,5-11 Brand,5-11 6.6 Pouch Tactical Bag Black,accessories,unisex,43.17,20.8,51.8,40.0,40.0,40.0,1,mikesport,1,18,1.0,core,90000
SP-2ACBE62D6A,5-11 BRAND|IN232937,IN232937,5-11 Brand,5-11 Abr 7 Panel Ng Tactical Cap Covert Green,accessories,unisex,47.62,23.4,50.9,45.0,45.0,45.0,1,mikesport,1,18,0.0,seasonal,90000
SP-26A36A14D4,5-11 BRAND|IN178463,IN178463,5-11 Brand,5-11 Abr Plate Carrier Tactical Pouches Black,accessories,unisex,330.12,150.28,54.5,289.0,289.0,289.0,1,mikesport,1,18,1.0,core,90000
SP-976F3367F9,5-11 BRAND|IN222143,IN222143,5-11 Brand,5-11 Adjustable Uniform Tactical Cap Black,accessories,unisex,30.69,13.0,57.6,25.0,25.0,25.0,1,mikesport,1,18,1.0,core,90000
SP-01A0DF7D98,5-11 BRAND|IN222144,IN222144,5-11 Brand,5-11 Adjustable Uniform Tactical Cap Tdu Green,accessories,unisex,24.81,13.0,47.6,25.0,25.0,25.0,1,mikesport,1,18,0.0,seasonal,90000
SP-813D40DAEF,5-11 BRAND|IN102320,IN102320,5-11 Brand,5-11 All Hazards Prime Tactical Bag Black,accessories,unisex,357.54,163.8,54.2,315.0,315.0,315.0,1,mikesport,1,18,1.0,core,90000
SP-86487AE966,5-11 BRAND|IN212568,IN212568,5-11 Brand,5-11 Allhaula Men Tactical Bag Volcanic,accessories,men,208.34,93.08,55.3,179.0,179.0,179.0,1,mikesport,1,18,0.0,seasonal,90000
SP-94BF146023,5-11 BRAND|IN232915,IN232915,5-11 Brand,5-11 AllhaulaTactical Roller Bag 90L Volcanic,accessories,unisex,556.56,295.88,46.8,569.0,569.0,569.0,1,mikesport,1,18,0.0,seasonal,90000
SP-6A35223E79,5-11 BRAND|IN201642,IN201642,5-11 Brand,5-11 Atmos Men Tactical Sock Major Brown,accessories,men,17.34,9.36,46.0,18.0,18.0,18.0,1,mikesport,1,18,0.0,seasonal,90000
SP-30E6C5C116,5-11 BRAND|IN232907,IN232907,5-11 Brand,5-11 Awe Eagle Knife Men Tactical Sock Black,accessories,men,26.99,11.96,55.7,23.0,23.0,23.0,1,mikesport,2,18,1.0,core,90000
SP-857A9B1605,5-11 BRAND|IN232906,IN232906,5-11 Brand,5-11 Awe Twin Pines Men Tactical Sock Brown,accessories,men,25.13,11.96,52.4,23.0,23.0,23.0,1,mikesport,2,18,1.0,core,90000
SP-F9AACFDB3D,5-11 BRAND|IN206680,IN206680,5-11 Brand,5-11 Bag Wizards Tactical Patch Black,accessories,unisex,18.33,9.36,48.9,18.0,18.0,18.0,1,mikesport,1,18,0.0,seasonal,90000
