sku_id,product_key,style_code,brand,product_name,system_category,gender,retail_price_usd,cost_price_usd,gross_margin_pct,market_median_price_usd,market_min_price_usd,market_max_price_usd,num_competitors,competitors,num_sizes,initial_stock,availability_ratio,collection_type,fx_rate_used
SP-6A627AE57E,ADIDAS|ID8764,ID8764,Adidas,Adidas Galaxy 7 Women Running Shoes Black,footwear,women,81.96,38.4,53.1,80.0,80.0,80.0,2,"adidas_lb,mikesport",7,12,1.0,core,90000
SP-EA1A90B4B8,ADIDAS|HQ6041,HQ6041,Adidas,Adidas Stan Smith Millencon Lifestyle Women,footwear,women,82.8,35.76,56.8,74.5,61.0,88.0,2,"adidas_lb,tchooz",3,10,1.0,core,90000
SP-C7EF6CC8AF,ADIDAS|ID8840,ID8840,Adidas,Adidas Ultraboost 5 Women Running Shoes White/Grey/Pink,footwear,women,139.73,70.56,49.5,147.0,144.0,150.0,2,"adidas_lb,mikesport",2,9,1.0,core,90000
SP-26E1DF3914,ADIDAS|IG9166,IG9166,Adidas,"Advantage 2.0 Shoes, White",footwear,men,120.55,60.48,49.8,126.0,126.0,126.0,2,"adidas_lb,tchooz",16,14,1.0,core,90000
SP-265659CA96,ADIDAS|IG9175,IG9175,Adidas,"Advantage 2.0 Shoes, White",footwear,women,118.62,60.48,49.0,126.0,126.0,126.0,2,"adidas_lb,tchooz",8,13,1.0,core,90000
SP-C328DB5C58,ADIDAS|IG9184,IG9184,Adidas,"Advantage Base 2.0 Shoes, Black",footwear,men,103.9,45.84,55.9,95.5,95.0,96.0,2,"adidas_lb,tchooz",4,10,1.0,core,90000
SP-1A5E48962B,ADIDAS|JI2316,JI2316,Adidas,"Barreda Decode Shoes, Black",footwear,men,121.06,60.48,50.0,126.0,126.0,126.0,2,"adidas_lb,tchooz",3,10,1.0,core,90000
SP-C1FA92617F,ADIDAS|JI2318,JI2318,Adidas,"Barreda Decode Shoes, Green",footwear,men,123.0,60.48,50.8,126.0,126.0,126.0,2,"adidas_lb,tchooz",9,13,1.0,core,90000
SP-A2D46F25B1,ADIDAS|JI2321,JI2321,Adidas,"Barreda Decode Shoes, White",footwear,women,136.18,60.48,55.6,126.0,126.0,126.0,2,"adidas_lb,tchooz",8,13,1.0,core,90000
SP-C5A9CE6C8D,ADIDAS|JI2306,JI2306,Adidas,"Barreda Shoes, White",footwear,men,92.69,45.84,50.5,95.5,95.0,96.0,2,"adidas_lb,tchooz",11,14,1.0,core,90000
SP-8C2C7BFBA1,ADIDAS|IH1478,IH1478,Adidas,"Grand Court 3.0 Shoes, White",footwear,men,121.49,60.48,50.2,126.0,126.0,126.0,2,"adidas_lb,tchooz",11,14,1.0,core,90000
SP-CF5BCC0FE2,ADIDAS|JI4632,JI4632,Adidas,"Response Super Shoes, White",footwear,unisex,89.05,33.12,62.8,69.0,69.0,69.0,2,"adidas_lb,tchooz",7,12,1.0,core,90000
SP-20E084F9D9,NEW BALANCE|BB550,BB550,New Balance,New Balance Bb550 Men Lifestyle Shoes Sea Salt/Blue/Angora,footwear,men,107.38,56.35,47.5,115.0,95.0,139.0,2,"mikesport,tchooz",11,14,0.55,seasonal,90000
SP-48A96BB634,ADIDAS|IG8986,IG8986,Adidas,"4DFWD 3 Running Shoes, Black",footwear,men,178.84,99.36,44.4,207.0,207.0,207.0,1,adidas_lb,1,9,1.0,core,90000
SP-3B493D0895,ADIDAS|IE5863,IE5863,Adidas,"4DFWD 4 Running Shoes, White",footwear,men,185.33,76.32,58.8,159.0,159.0,159.0,1,adidas_lb,1,9,1.0,core,90000
SP-28A4947B98,ADIDAS|ID3489,ID3489,Adidas,"4Dfwd 3 Running Shoes, Beige",footwear,men,185.67,99.36,46.5,207.0,207.0,207.0,1,adidas_lb,1,9,1.0,core,90000
SP-6C4030E8BF,ADIDAS|ID3499,ID3499,Adidas,"4Dfwd 3 Running Shoes, Beige",footwear,women,217.2,99.36,54.3,207.0,207.0,207.0,1,adidas_lb,3,10,1.0,core,90000
SP-73E4C8CC61,ADIDAS|ID3488,ID3488,Adidas,"4Dfwd 3 Running Shoes, Black",footwear,men,157.46,76.32,51.5,159.0,159.0,159.0,1,adidas_lb,1,9,1.0,core,90000
SP-DEECA186E7,ADIDAS|ID3491,ID3491,Adidas,"4Dfwd 3 Running Shoes, Black",footwear,men,139.54,60.96,56.3,127.0,127.0,127.0,1,adidas_lb,1,9,1.0,core,90000
SP-745B1972AB,ADIDAS|IG8995,IG8995,Adidas,"4Dfwd 3 Running Shoes, Black",footwear,women,255.18,99.36,61.1,207.0,207.0,207.0,1,adidas_lb,5,11,1.0,core,90000
SP-485BDE7E2C,ADIDAS|IG8996,IG8996,Adidas,"4Dfwd 3 Running Shoes, Black",footwear,women,224.87,99.36,55.8,207.0,207.0,207.0,1,adidas_lb,1,9,1.0,core,90000
SP-545229B88B,ADIDAS|IG8980,IG8980,Adidas,"4Dfwd 3 Running Shoes, Grey",footwear,men,171.5,76.32,55.5,159.0,159.0,159.0,1,adidas_lb,5,11,1.0,core,90000
SP-BEDB9977CB,ADIDAS|ID8882,ID8882,Adidas,"4Dfwd 4 Running Shoes, Black",footwear,women,154.0,76.32,50.4,159.0,159.0,159.0,1,adidas_lb,6,12,1.0,core,90000
SP-0D8F9A9ADA,ADIDAS|ID8311,ID8311,Adidas,"4Dfwd 4 Running Shoes, White",footwear,women,182.95,99.36,45.7,207.0,207.0,207.0,1,adidas_lb,3,10,1.0,core,90000
SP-9DB6B598F6,ADIDAS|ID8887,ID8887,Adidas,"4Dfwd 4 Running Shoes, White",footwear,men,145.33,60.96,58.1,127.0,127.0,127.0,1,adidas_lb,6,12,1.0,core,90000
SP-F272E0B3EC,CROCS|IN236717,IN236717,Crocs,Crocs All Day Men Lifestyle Slippers Black,footwear,men,39.39,18.72,52.5,36.0,36.0,36.0,1,mikesport,6,12,1.0,core,90000
SP-26CA5937C8,CROCS|IN236719,IN236719,Crocs,Crocs All Day Men Lifestyle Slippers Navy,footwear,men,44.51,18.72,57.9,36.0,36.0,36.0,1,mikesport,6,12,1.0,core,90000
SP-CA4D78ABDF,CROCS|IN236714,IN236714,Crocs,Crocs All Day Women Lifestyle Slippers Black,footwear,women,36.75,18.72,49.1,36.0,36.0,36.0,1,mikesport,4,10,1.0,core,90000
SP-0A0C5718B8,CROCS|IN236716,IN236716,Crocs,Crocs All Day Women Lifestyle Slippers Powder Pink,footwear,women,44.63,18.72,58.1,36.0,36.0,36.0,1,mikesport,1,9,1.0,core,90000
SP-1DE83EF0B0,CROCS|IN236715,IN236715,Crocs,Crocs All Day Women Lifestyle Slippers White,footwear,women,31.42,18.72,40.4,36.0,36.0,36.0,1,mikesport,4,10,1.0,core,90000
SP-22ED3EE46C,CROCS|IN206521,IN206521,Crocs,Crocs All Terrain Kids Lifestyle Sandals Storm,footwear,kids,32.41,15.08,53.5,29.0,29.0,29.0,1,mikesport,1,9,1.0,core,90000
SP-1EFF62AD3C,CROCS|IN164432,IN164432,Crocs,Crocs Bae Clog Women Lifestyle Black,footwear,women,83.16,43.68,47.5,84.0,84.0,84.0,1,mikesport,4,10,1.0,core,90000
SP-B3F68BA4E6,CROCS|IN221082,IN221082,Crocs,Crocs Bae Clog Women Lifestyle Dragon Fruit,footwear,women,84.2,43.68,48.1,84.0,84.0,84.0,1,mikesport,3,10,1.0,core,90000
SP-579FCCF26F,CROCS|IN221081,IN221081,Crocs,Crocs Bae Clog Women Lifestyle Kiwi,footwear,women,81.46,43.68,46.4,84.0,84.0,84.0,1,mikesport,3,10,1.0,core,90000
SP-9EF0AF0731,CROCS|IN221083,IN221083,Crocs,Crocs Bae Clog Women Lifestyle Orangesicle,footwear,women,77.12,43.68,43.4,84.0,84.0,84.0,1,mikesport,3,10,1.0,core,90000
SP-4922B84AAD,CROCS|IN221080,IN221080,Crocs,Crocs Bae Clog Women Lifestyle White,footwear,women,103.95,43.68,58.0,84.0,84.0,84.0,1,mikesport,2,9,1.0,core,90000
SP-1B705F3CD9,CROCS|IN227558,IN227558,Crocs,Crocs Bae Glitter Clog Women Lifestyle Clog Pink Milk,footwear,women,78.2,46.8,40.2,90.0,90.0,90.0,1,mikesport,2,9,1.0,core,90000
SP-0AA1FDD34E,CROCS|IN227557,IN227557,Crocs,Crocs Bae Glitter Women Lifestyle Clog Black,footwear,women,105.2,46.8,55.5,90.0,90.0,90.0,1,mikesport,1,9,1.0,core,90000
SP-6F212837EF,CROCS|IN231583,IN231583,Crocs,Crocs Bae Lined Women Lifestyle Clog Black,footwear,women,70.06,34.84,50.3,67.0,67.0,67.0,1,mikesport,1,9,1.0,core,90000
SP-63D1F944FA,CROCS|IN236746,IN236746,Crocs,Crocs Bae Pinnacle Embellished Women Lifestyle Clog Frappe,footwear,women,192.49,87.36,54.6,168.0,168.0,168.0,1,mikesport,1,9,1.0,core,90000
SP-7C595F60D7,CROCS|IN236684,IN236684,Crocs,Crocs Bae Women Lifestyle Clog Mauve Mist,footwear,women,105.71,43.68,58.7,84.0,84.0,84.0,1,mikesport,4,10,1.0,core,90000
SP-5FCBB664AF,CROCS|IN224595,IN224595,Crocs,Crocs Bae Women Lifestyle Clog Milk Chocolate,footwear,women,83.53,43.68,47.7,84.0,84.0,84.0,1,mikesport,1,9,1.0,core,90000
SP-57E4E0DDE1,CROCS|IN236685,IN236685,Crocs,Crocs Bae Women Lifestyle Clog Quartz,footwear,women,78.52,43.68,44.4,84.0,84.0,84.0,1,mikesport,4,10,1.0,core,90000
SP-CE1996B0E0,CROCS|IN227545,IN227545,Crocs,Crocs Bae Women Lifestyle Clog Starfish,footwear,women,91.09,43.68,52.0,84.0,84.0,84.0,1,mikesport,1,9,1.0,core,90000
SP-12E813D427,CROCS|IN227544,IN227544,Crocs,Crocs Bae Women Lifestyle Clog Taupe,footwear,women,88.7,43.68,50.8,84.0,84.0,84.0,1,mikesport,3,10,1.0,core,90000
SP-D62159F18D,CROCS|IN238068,IN238068,Crocs,Crocs Barbie Classic Infant Lifestyle Clog Multi,footwear,kids,67.25,31.2,53.6,60.0,60.0,60.0,1,mikesport,3,10,1.0,core,90000
SP-ABDA020E90,CROCS|IN238067,IN238067,Crocs,Crocs Barbie Classic Kids Lifestyle Clog Multi,footwear,kids,82.57,34.32,58.4,66.0,66.0,66.0,1,mikesport,4,10,1.0,core,90000
SP-CC5CDA3953,CROCS|IN073617,IN073617,Crocs,Crocs Bistro Slip Resistant Work Clog Unisex lifestyle Slippers Black,footwear,unisex,43.74,21.84,50.1,42.0,42.0,42.0,1,mikesport,2,9,1.0,core,90000
SP-8909E63A20,CROCS|IN073618,IN073618,Crocs,Crocs Bistro Slip Resistant Work Clog Unisex lifestyle Slippers Navy,footwear,unisex,47.71,21.84,54.2,42.0,42.0,42.0,1,mikesport,4,10,1.0,core,90000
SP-B6194DA390,NEW BALANCE|NB9060,NB9060,New Balance,Joe Freshgoods x New Balance NB9060,footwear,unisex,87.68,39.2,55.3,80.0,80.0,80.0,1,shoesworld,12,14,1.0,core,90000
SP-AA3A19B5B7,NEW BALANCE|IN234813,IN234813,New Balance,New Balance 1000 Women Lifestyle Shoes Silver Metallic,footwear,women,246.43,112.21,54.5,229.0,229.0,229.0,1,mikesport,3,10,1.0,core,90000
