sku_id,product_name,brand,category,retail_price_usd,cost_price_usd,current_stock,initial_stock,total_qty,days_since_launch,days_since_last_discount,days_at_current_price,days_of_supply,current_margin_pct,season_sell_through_pct,price_gap_pct,competitors_on_sale,competitors_out_of_stock,num_competitors,market_position,match_type,match_score
SP-6A627AE57E,Adidas Galaxy 7 Women Running Shoes Black,Adidas,footwear,81.96,38.4,12,12,12.0,0.0,999,30,83.2,53.15,0.0,0.0239,0,0,2,at_market,exact_style,1.0
SP-EA1A90B4B8,Adidas Stan Smith Millencon Lifestyle Women,Adidas,footwear,82.8,35.76,10,10,10.0,0.0,999,30,98.9,56.81,0.0,-0.0628,1,0,1,below_market,exact_style,1.0
SP-C7EF6CC8AF,Adidas Ultraboost 5 Women Running Shoes White/Grey/Pink,Adidas,footwear,139.73,70.56,9,9,9.0,0.0,999,30,116.1,49.5,0.0,-0.0306,2,1,2,at_market,exact_style,1.0
SP-26E1DF3914,"Advantage 2.0 Shoes, White",Adidas,footwear,120.55,60.48,14,14,14.0,0.0,999,30,136.6,49.83,0.0,-0.0452,0,0,1,at_market,exact_style,1.0
SP-265659CA96,"Advantage 2.0 Shoes, White",Adidas,footwear,118.62,60.48,13,13,13.0,0.0,999,30,136.6,49.01,0.0,-0.0622,0,0,1,below_market,exact_style,1.0
SP-C328DB5C58,"Advantage Base 2.0 Shoes, Black",Adidas,footwear,103.9,45.84,10,10,10.0,0.0,999,30,105.5,55.88,0.0,0.0857,0,0,2,above_market,exact_style,1.0
SP-1A5E48962B,"Barreda Decode Shoes, Black",Adidas,footwear,121.06,60.48,10,10,10.0,0.0,999,30,116.1,50.04,0.0,-0.0408,0,0,2,at_market,exact_style,1.0
SP-C1FA92617F,"Barreda Decode Shoes, Green",Adidas,footwear,123.0,60.48,13,13,13.0,0.0,999,30,136.6,50.83,0.0,-0.0244,0,0,1,at_market,exact_style,1.0
SP-A2D46F25B1,"Barreda Decode Shoes, White",Adidas,footwear,136.18,60.48,13,13,13.0,0.0,999,30,116.1,55.59,0.0,0.0748,0,0,1,above_market,exact_style,1.0
SP-C5A9CE6C8D,"Barreda Shoes, White",Adidas,footwear,92.69,45.84,14,14,14.0,0.0,999,30,94.1,50.54,0.0,-0.0249,0,0,2,at_market,exact_style,1.0
SP-8C2C7BFBA1,"Grand Court 3.0 Shoes, White",Adidas,footwear,121.49,60.48,14,14,14.0,0.0,999,30,116.1,50.22,0.0,-0.0371,0,0,1,at_market,exact_style,1.0
SP-CF5BCC0FE2,"Response Super Shoes, White",Adidas,footwear,89.05,33.12,12,12,12.0,0.0,999,30,106.4,62.81,0.0,0.2252,1,0,1,premium,exact_style,1.0
SP-20E084F9D9,New Balance Bb550 Men Lifestyle Shoes Sea Salt/Blue/Angora,New Balance,footwear,107.38,56.35,14,14,14.0,0.0,999,30,109.1,47.52,0.0,-0.071,1,0,1,below_market,exact_style,1.0
SP-48A96BB634,"4DFWD 3 Running Shoes, Black",Adidas,footwear,178.84,99.36,9,9,9.0,0.0,999,30,136.6,44.44,0.0,-0.1575,1,0,1,deep_value,exact_style,1.0
