month,month_name,units_sold,revenue_usd,cogs_usd,gross_profit_usd,gross_margin_pct,fixed_opex_usd,variable_opex_usd,total_opex_usd,ebitda_like_usd,inventory_purchase_usd,net_cash_movement_usd,cumulative_cash_usd
1,January,200,24237.0,15055.4,9181.6,0.3788,2837.8,1746.96,4584.76,4596.84,0.0,4596.84,35560.65
2,February,152,18542.0,11323.7,7218.3,0.3893,2837.8,1332.82,4170.62,3047.68,0.0,3047.68,38608.33
3,March,244,29840.0,18141.13,11698.87,0.3921,2837.8,2143.39,4981.19,6717.68,0.0,6717.68,45326.01
4,April,274,33508.0,20436.86,13071.14,0.3901,2837.8,2408.1,5245.9,7825.24,123.52,7701.72,53027.74
5,May,291,36390.0,22934.38,13455.62,0.3698,2837.8,2629.12,5466.92,7988.7,109.48,7879.22,60906.95
6,June,216,27529.0,17101.24,10427.76,0.3788,2837.8,1984.25,4822.05,5605.71,1224.88,4380.83,65287.78
7,July,179,22781.0,13794.4,8986.6,0.3945,2837.8,1635.31,4473.11,4513.49,173.25,4340.24,69628.02
8,August,239,28476.0,17811.14,10664.86,0.3745,2837.8,2054.8,4892.6,5772.26,507.81,5264.45,74892.47
9,September,337,41888.0,26536.14,15351.86,0.3665,2837.8,3028.91,5866.71,9485.15,1815.28,7669.87,82562.34
10,October,231,26970.0,16447.45,10522.55,0.3902,2837.8,1938.2,4776.0,5746.55,2207.2,3539.35,86101.69
11,November,241,29221.0,17500.1,11720.9,0.4011,2837.8,2093.95,4931.75,6789.15,2934.45,3854.7,89956.39
12,December,163,19003.0,11617.83,7385.17,0.3886,2837.8,1366.2,4204.0,3181.17,3578.52,-397.35,89559.04
