competitor_product_id,competitor_name,style_code,brand_name,product_name,category,gender_target,competitor_price,competitor_sale_price,discount_pct,is_on_sale,availability,currency,sizes_available,source_url,scraped_at,data_valid
mikesport:8886498361498,mikesport,IN239711,TYR,Tyr Diamondfit Women Swimming Monokini Black,Monokini,women,100.0,,,False,out_of_stock,USD,[],https://lb.mikesport.com/products/tyr-diamondfit-women-swimming-monokini-black,2026-04-10T14:13:55Z,True
mikesport:8886498328730,mikesport,IN239030,TYR,Tyr Hexa Trinityfit Women Swim Monokini Navy/White,Monokini,women,108.0,,,False,in_stock,USD,"[""26"", ""28"", ""30"", ""32"", ""34""]",https://lb.mikesport.com/products/tyr-hexa-trinityfit-women-swim-monokini-navy-white,2026-04-10T14:13:55Z,True
mikesport:8886498263194,mikesport,IN239029,TYR,Tyr Hexa Trinityfit Women Swim Monokini Black/Blue,Monokini,women,108.0,,,False,in_stock,USD,"[""26"", ""28"", ""30"", ""32"", ""34""]",https://lb.mikesport.com/products/tyr-hexa-trinityfit-women-swim-monokini-black-blue,2026-04-10T14:13:55Z,True
mikesport:8886498197658,mikesport,IN239028,TYR,Tyr Solid Cutoutfit Women Swim Monokini Black,Monokini,women,100.0,,,False,in_stock,USD,"[""32"", ""34"", ""36"", ""38""]",https://lb.mikesport.com/products/tyr-solid-cutoutfit-women-swim-monokini-black,2026-04-10T14:13:55Z,True
mikesport:8886498164890,mikesport,IN239027,TYR,Tyr Solid Square Leg Men Swim Tight Navy,Swim Tight,men,70.0,,,False,in_stock,USD,"[""26"", ""28"", ""30"", ""32"", ""34"", ""36""]",https://lb.mikesport.com/products/tyr-solid-square-leg-men-swim-tight-navy,2026-04-10T14:13:55Z,True
mikesport:8886498099354,mikesport,IN239026,TYR,Tyr Solid Square Leg Men Swim Tight Black,Swim Tight,men,70.0,,,False,in_stock,USD,"[""26"", ""28"", ""30"", ""32"", ""34"", ""36"", ""38""]",https://lb.mikesport.com/products/tyr-solid-square-leg-men-swim-tight-black,2026-04-10T14:13:55Z,True
mikesport:8886498066586,mikesport,IN239025,TYR,Tyr Solid Jammer Men Swim Tight Navy,Swim Tight,men,80.0,,,False,in_stock,USD,"[""26"", ""28"", ""30"", ""32"", ""36""]",https://lb.mikesport.com/products/tyr-solid-jammer-men-swim-tight-navy,2026-04-10T14:13:55Z,True
mikesport:8886498033818,mikesport,IN239024,TYR,Tyr Solid Jammer Men Swim Tight Black,Swim Tight,men,80.0,,,False,in_stock,USD,"[""26"", ""28"", ""30"", ""32"", ""34"", ""36""]",https://lb.mikesport.com/products/tyr-solid-jammer-men-swim-tight-black,2026-04-10T14:13:55Z,True
mikesport:8886498001050,mikesport,IN239023,TYR,Tyr Solid Men Swim Tight Navy,Swim Tight,men,60.0,,,False,in_stock,USD,"[""26"", ""28"", ""30"", ""32"", ""34"", ""36"", ""38""]",https://lb.mikesport.com/products/tyr-solid-men-swim-tight-navy,2026-04-10T14:13:55Z,True
mikesport:8886497968282,mikesport,IN239022,TYR,Tyr Solid Men Swim Tight Black,Swim Tight,men,60.0,,,False,in_stock,USD,"[""26"", ""28"", ""30"", ""32"", ""34"", ""36"", ""38""]",https://lb.mikesport.com/products/tyr-solid-men-swim-tight-black,2026-04-10T14:13:55Z,True
mikesport:8886497902746,mikesport,IN239021,TYR,Tyr Solid Durafast Elite Fem Maxfit Women Swim Monokini Black,Monokini,women,108.0,,,False,in_stock,USD,"[""26"", ""28"", ""30"", ""32"", ""34"", ""36""]",https://lb.mikesport.com/products/tyr-solid-durafast-elite-fem-maxfit-women-swim-monokini-black,2026-04-10T14:13:55Z,True
mikesport:8886497869978,mikesport,IN239020,TYR,Tyr Tactical Unisex Swim Backpack Black,Bags cases and Luggage,unisex,180.0,,,False,in_stock,USD,[],https://lb.mikesport.com/products/tyr-tactical-unisex-swim-backpack-black,2026-04-10T14:13:55Z,True
mikesport:8886497804442,mikesport,IN239019,TYR,Tyr Vecta Racing Unisex Swim Goggles Smoke/Red/Black,Goggles,unisex,33.0,,,False,in_stock,USD,[],https://lb.mikesport.com/products/tyr-vecta-racing-unisex-swim-goggles-smoke-red-black,2026-04-10T14:13:55Z,True
mikesport:8886497771674,mikesport,IN239018,TYR,Tyr Vecta Racing Unisex Swim Goggles Smoke/Black,Goggles,unisex,33.0,,,False,in_stock,USD,[],https://lb.mikesport.com/products/tyr-vecta-racing-unisex-swim-goggles-smoke-black,2026-04-10T14:13:55Z,True
mikesport:8886497738906,mikesport,IN239017,TYR,Tyr Tracer X Rzr Racing Unisex Swim Goggles Smoke/Black,Goggles,unisex,82.0,,,False,in_stock,USD,[],https://lb.mikesport.com/products/tyr-tracer-x-rzr-racing-unisex-swim-goggles-smoke-black,2026-04-10T14:13:55Z,True
