competitor_product_id,competitor_name,style_code,brand_name,product_name,category,gender_target,competitor_price,competitor_sale_price,discount_pct,is_on_sale,availability,currency,sizes_available,source_url,scraped_at,data_valid
marka_store:10025903227180,marka_store,,Nike,NIKE SUPERFLY 9 CLUB TURF JR,old season,,70.0,50.0,28.57,True,out_of_stock,USD,[],https://markastorelb.com/products/nike-superfly-9-club-turf-jr,2026-04-10T23:50:52Z,True
marka_store:8789423030572,marka_store,,Puma,PUMA CAP ESS CAP ll WHITE 022543,,,22.0,,,False,out_of_stock,USD,[],https://markastorelb.com/products/pu-ma-cap-ess-cap-white-022543,2026-04-10T23:50:52Z,True
marka_store:10260663763244,marka_store,,Puma,Puma Softride Exo Flex,,,113.0,,,False,in_stock,USD,"[""312579-01""]",https://markastorelb.com/products/puma-softride-exo-flex,2026-04-10T23:50:52Z,True
marka_store:9538344780076,marka_store,,Crocs,CROCS CLASSIC ALL-TERRAIN FLIP,old season,,43.0,33.0,23.26,True,in_stock,USD,"[""46""]",https://markastorelb.com/products/crocs-classic-all-terrain-flip,2026-04-10T23:50:52Z,True
marka_store:10255127150892,marka_store,,Puma,Puma Phase Portable,old season,,20.0,17.0,15.0,True,in_stock,USD,"[""091173 01 - 091173 02""]",https://markastorelb.com/products/puma-phase-portable,2026-04-10T23:50:52Z,True
marka_store:10254583431468,marka_store,,Puma,Puma POPCAT 20,old season,,45.0,34.0,24.44,True,in_stock,USD,"[""37227902""]",https://markastorelb.com/products/puma-popcat-21,2026-04-10T23:50:52Z,True
marka_store:10254582579500,marka_store,,Puma,Puma DIVECAT V2 Lite,old season,,35.0,29.0,17.14,True,in_stock,USD,"[""37482301""]",https://markastorelb.com/products/puma-divecat-v2-lite-2,2026-04-10T23:50:52Z,True
marka_store:10254580351276,marka_store,,Puma,Puma DIVECAT V2 Lite,old season,,35.0,29.0,17.14,True,in_stock,USD,"[""37482321""]",https://markastorelb.com/products/puma-divecat-v2-lite-1,2026-04-10T23:50:52Z,True
marka_store:10254579106092,marka_store,,Puma,Puma PURECAT,old season,,35.0,29.0,17.14,True,in_stock,USD,"[""36026201""]",https://markastorelb.com/products/puma-purecat,2026-04-10T23:50:52Z,True
marka_store:10254578090284,marka_store,,Puma,Puma DIVECAT V2 Lite,old season,,35.0,29.0,17.14,True,in_stock,USD,"[""37482304""]",https://markastorelb.com/products/puma-divecat-v2-lite,2026-04-10T23:50:52Z,True
marka_store:10254577172780,marka_store,,Puma,Puma POPCAT 20,old season,,45.0,34.0,24.44,True,in_stock,USD,"[""37227901""]",https://markastorelb.com/products/puma-popcat-20,2026-04-10T23:50:52Z,True
marka_store:10251879711020,marka_store,HP2383,Adidas,Adidas Duramo 10,old season,,95.0,75.0,21.05,True,in_stock,USD,"[""HP2383""]",https://markastorelb.com/products/adidas-duramo-13,2026-04-10T23:50:52Z,True
marka_store:10251877646636,marka_store,JI2044,Adidas,Adidas Samba OG,old season,,149.0,105.0,29.53,True,in_stock,USD,"[""JI2044""]",https://markastorelb.com/products/adidas-samba-og-2,2026-04-10T23:50:52Z,True
marka_store:10251875647788,marka_store,HP2379,Adidas,Adidas Duramo 10,old season,,95.0,80.0,15.79,True,in_stock,USD,"[""HP2379""]",https://markastorelb.com/products/adidas-duramo-12,2026-04-10T23:50:52Z,True
marka_store:10251875156268,marka_store,HQ4129,Adidas,Adidas Duramo 10,old season,,95.0,75.0,21.05,True,in_stock,USD,"[""HQ4129""]",https://markastorelb.com/products/adidas-duramo-11,2026-04-10T23:50:52Z,True
marka_store:10251874468140,marka_store,JQ7500,Adidas,Adidas Duramo X,old season,,95.0,80.0,15.79,True,in_stock,USD,"[""JQ7500""]",https://markastorelb.com/products/adidas-duramo-x,2026-04-10T23:50:52Z,True
