competitor_product_id,competitor_name,style_code,brand_name,product_name,category,gender_target,competitor_price,competitor_sale_price,discount_pct,is_on_sale,availability,currency,sizes_available,source_url,scraped_at,data_valid
shoesworld:6862995fc6403ad9596c8c28,shoesworld,,Adidas,PREDATOR ACCURACY FG BOOTS39-45,ADIDAS CLEATS WITH STUDS,,110.0,75.0,31.82,True,in_stock,USD,"[""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]",https://www.shoesworldlb.com/product/6862995fc6403ad9596c8c28,2026-04-10T15:12:23Z,True
shoesworld:6862995fc6403ad9596c8c35,shoesworld,,Adidas,2024 Copa Gloro2 FG 39-45,ADIDAS CLEATS WITH STUDS,,110.0,75.0,31.82,True,in_stock,USD,"[""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]",https://www.shoesworldlb.com/product/6862995fc6403ad9596c8c35,2026-04-10T15:12:23Z,True
shoesworld:6862995fc6403ad9596c8c3e,shoesworld,,Adidas,Adidas F50 FG 39-45,ADIDAS CLEATS WITH STUDS,,110.0,75.0,31.82,True,in_stock,USD,"[""39"", ""4\u201d"", ""41"", ""42"", ""43"", ""44"", ""45""]",https://www.shoesworldlb.com/product/6862995fc6403ad9596c8c3e,2026-04-10T15:12:23Z,True
shoesworld:6862995fc6403ad9596c8bd3,shoesworld,,Adidas,Adidas F50 FG SIZE: 39-45,ADIDAS CLEATS WITH STUDS,,120.0,75.0,37.5,True,in_stock,USD,"[""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]",https://www.shoesworldlb.com/product/6862995fc6403ad9596c8bd3,2026-04-10T15:12:23Z,True
shoesworld:6862995fc6403ad9596c8bb5,shoesworld,,Adidas,PREDATOR ACCURACY+ FG BOOTS 36-45,ADIDAS CLEATS WITH STUDS,,120.0,75.0,37.5,True,in_stock,USD,"[""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]",https://www.shoesworldlb.com/product/6862995fc6403ad9596c8bb5,2026-04-10T15:12:23Z,True
shoesworld:6862995fc6403ad9596c8c58,shoesworld,,Adidas,Adidas F50 FG 39-45,ADIDAS CLEATS WITH STUDS,,100.0,70.0,30.0,True,in_stock,USD,"[""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]",https://www.shoesworldlb.com/product/6862995fc6403ad9596c8c58,2026-04-10T15:12:23Z,True
shoesworld:6862995fc6403ad9596c8bbf,shoesworld,,Adidas,Adidas F50 SG SIZE 39-45,ADIDAS CLEATS WITH STUDS,,120.0,75.0,37.5,True,in_stock,USD,"[""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]",https://www.shoesworldlb.com/product/6862995fc6403ad9596c8bbf,2026-04-10T15:12:23Z,True
shoesworld:6862995fc6403ad9596c8bdb,shoesworld,,Adidas,PREDATOR ACCURACY+ BOOTS FG39-45,ADIDAS CLEATS WITH STUDS,,120.0,75.0,37.5,True,in_stock,USD,"[""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]",https://www.shoesworldlb.com/product/6862995fc6403ad9596c8bdb,2026-04-10T15:12:23Z,True
shoesworld:6862995fc6403ad9596c8bae,shoesworld,,Adidas,PREDATOR ACCURACY+ BOOTS FG39-45,ADIDAS CLEATS WITH STUDS,,120.0,75.0,37.5,True,in_stock,USD,"[""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]",https://www.shoesworldlb.com/product/6862995fc6403ad9596c8bae,2026-04-10T15:12:23Z,True
shoesworld:6862995fc6403ad9596c8ba5,shoesworld,,Nike,Nike Air Zoom Mercurial Vapor XV Elite FG,ADIDAS CLEATS WITH STUDS,,120.0,75.0,37.5,True,in_stock,USD,"[""39"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45""]",https://www.shoesworldlb.com/product/6862995fc6403ad9596c8ba5,2026-04-10T15:12:23Z,True
