competitor_product_id,competitor_name,style_code,brand_name,product_name,category,gender_target,competitor_price,competitor_sale_price,discount_pct,is_on_sale,availability,currency,sizes_available,source_url,scraped_at,data_valid
tchooz:9115243610369,tchooz,3WG10031043,On,Cloudmonster 3 Women,Low Boots,women,229.0,,,False,in_stock,USD,"[""37"", ""38"", ""39"", ""40""]",https://tchoozshoes.com/products/3wg10031043,2026-04-10T14:22:53Z,True
tchooz:9115241840897,tchooz,3MG10051043,On,Cloudmonster 3 Men,Low Boots,men,229.0,,,False,in_stock,USD,"[""42"", ""43"", ""44"", ""45""]",https://tchoozshoes.com/products/3mg10051043,2026-04-10T14:22:53Z,True
tchooz:9115239252225,tchooz,3MG10054747,On,Cloudmonster 3 Men,Low Boots,men,229.0,,,False,in_stock,USD,"[""42"", ""43"", ""44"", ""45""]",https://tchoozshoes.com/products/3mg10054747,2026-04-10T14:22:53Z,True
tchooz:9115236237569,tchooz,3WE10054846,On,Cloudtilt Women,Low Boots,women,195.0,,,False,in_stock,USD,"[""37"", ""38"", ""39"", ""40""]",https://tchoozshoes.com/products/3we10054846,2026-04-10T14:22:53Z,True
tchooz:8729738019073,tchooz,,Puma,ESS Small Logo Tee Men,Tees,men,31.0,,,False,in_stock,USD,"[""Navy""]",https://tchoozshoes.com/products/68253816,2026-04-10T14:22:53Z,True
tchooz:8689303847169,tchooz,,Puma,ESS Small Logo Tee Men,Tees,men,31.0,,,False,in_stock,USD,"[""S"", ""M"", ""L"", ""XL"", ""XXL""]",https://tchoozshoes.com/products/68253802,2026-04-10T14:22:53Z,True
tchooz:8689303781633,tchooz,,Puma,ESS Small Logo Tee Men,Tees,men,31.0,,,False,in_stock,USD,"[""S"", ""M"", ""L"", ""XL"", ""XXL""]",https://tchoozshoes.com/products/68253801,2026-04-10T14:22:53Z,True
tchooz:8718539981057,tchooz,,Puma,ESS Small No.1 Logo Sweatpnts TR Women,Pants,women,64.0,,,False,in_stock,USD,"[""XS"", ""S"", ""M"", ""L""]",https://tchoozshoes.com/products/68245001,2026-04-10T14:22:53Z,True
tchooz:9114713587969,tchooz,,Puma,MID90s Relaxed Long Shorts TR Boys,Tees,boys,30.0,,,False,in_stock,USD,"[""8 Years"", ""10 Years"", ""12 Years"", ""14 Years""]",https://tchoozshoes.com/products/69261041,2026-04-10T14:22:53Z,True
tchooz:9114713555201,tchooz,,Puma,MID90s Relaxed Long Shorts TR Boys,Tees,boys,30.0,,,False,in_stock,USD,"[""8 Years"", ""10 Years"", ""12 Years"", ""14 Years""]",https://tchoozshoes.com/products/69261001,2026-04-10T14:22:53Z,True
tchooz:9114713522433,tchooz,,Puma,EVOSTRIPE Sweatpants DK op Women,Pants,women,82.0,,,False,in_stock,USD,"[""XS"", ""S"", ""M"", ""L""]",https://tchoozshoes.com/products/69189901,2026-04-10T14:22:53Z,True
tchooz:9114713489665,tchooz,,Puma,EVOSTRIPE Full-Zip Hoodie DK Women,Hoodies,women,118.0,,,False,in_stock,USD,"[""XS"", ""S"", ""M""]",https://tchoozshoes.com/products/69189801,2026-04-10T14:22:53Z,True
tchooz:9114713456897,tchooz,,Puma,EVOSTRIPE Relaxed Graphic Tee Women,Tees,women,41.0,,,False,in_stock,USD,"[""XS"", ""S"", ""M"", ""L""]",https://tchoozshoes.com/products/69189638,2026-04-10T14:22:53Z,True
tchooz:9114713424129,tchooz,,Puma,MID90s Relaxed Long Shorts TR Boys,Shorts,boys,35.0,,,False,in_stock,USD,"[""8 Years"", ""10 Years"", ""12 Years"", ""14 Years""]",https://tchoozshoes.com/products/69174801,2026-04-10T14:22:53Z,True
tchooz:9114713391361,tchooz,,Puma,MID90s Sweatpants TR Boys,Pants,boys,62.0,,,False,in_stock,USD,"[""8 Years"", ""10 Years"", ""12 Years"", ""14 Years""]",https://tchoozshoes.com/products/69174741,2026-04-10T14:22:53Z,True
tchooz:9114713358593,tchooz,,Puma,MID90s Sweatpants TR Boys,Pants,boys,62.0,,,False,in_stock,USD,"[""8 Years"", ""10 Years"", ""12 Years"", ""14 Years""]",https://tchoozshoes.com/products/69174701,2026-04-10T14:22:53Z,True
tchooz:9114713325825,tchooz,,Puma,ESS Cat Comfort Wide Leg Pant TR op Women,Pants,women,72.0,,,False,in_stock,USD,"[""XS"", ""S"", ""M"", ""L""]",https://tchoozshoes.com/products/69170301,2026-04-10T14:22:53Z,True
tchooz:9114713227521,tchooz,,Puma,ESS 2 COLOR Small No. 1 Logo Tee Men,Tees,men,31.0,,,False,in_stock,USD,"[""S"", ""M"", ""L"", ""XL""]",https://tchoozshoes.com/products/68471741,2026-04-10T14:22:53Z,True
tchooz:9114713194753,tchooz,,Puma,"ESS No. 1 Logo Shorts 10"" (s) Men",Shorts,men,41.0,,,False,in_stock,USD,"[""S"", ""M"", ""L"", ""XL""]",https://tchoozshoes.com/products/68259587,2026-04-10T14:22:53Z,True
tchooz:9114713161985,tchooz,,Puma,ESS No. 1 Logo Pique Polo Men,Polos,men,56.0,,,False,in_stock,USD,"[""Navy""]",https://tchoozshoes.com/products/68255216,2026-04-10T14:22:53Z,True
tchooz:9114713129217,tchooz,,Puma,ESS No. 1 Logo Pique Polo Men,Polos,men,56.0,,,False,in_stock,USD,"[""S"", ""M"", ""L"", ""XL"", ""XXL""]",https://tchoozshoes.com/products/68255201,2026-04-10T14:22:53Z,True
tchooz:9114713096449,tchooz,,Puma,ESS No. 1 Logo Tee (s) Men,Tees,men,31.0,,,False,in_stock,USD,"[""S"", ""M"", ""L"", ""XL""]",https://tchoozshoes.com/products/68253387,2026-04-10T14:22:53Z,True
