"availability","brand_name","category","competitor_name","competitor_price","competitor_product_id","competitor_sale_price","currency","data_valid","discount_pct","gender_target","is_on_sale","product_name","scraped_at","sizes_available/0","sizes_available/1","sizes_available/2","sizes_available/3","sizes_available/4","sizes_available/5","sizes_available/6","sizes_available/7","sizes_available/8","sizes_available/9","sizes_available/10","sizes_available/11","sizes_available/12","sizes_available/13","sizes_available/14","sizes_available/15","sizes_available/16","sizes_available/17","sku_id","source_url","style_code"
"in_stock","Adidas","Slides & Slippers","adidas_lb","5040000","adidas_lb:A7_280647_ONE",,"LBP","true",,"men","false","adilette Slides, Black","2026-04-30T03:00:34Z","38","39 1/3","40 2/3","42","43 1/3","44 2/3","46",,,,,,,,,,,,"A7_280647_ONE","https://www.adidas.com.lb/en/adidas-adilette-slides-black/A7_280647_ONE.html","280647"
"in_stock","Adidas","Slides & Slippers","adidas_lb","5040000","adidas_lb:A7_280648_ONE",,"LBP","true",,"men","false","adilette Slides, White","2026-04-30T03:00:34Z","38","39 1/3","40 2/3","42","43 1/3","44 2/3","46","47 1/3",,,,,,,,,,,"A7_280648_ONE","https://www.adidas.com.lb/en/adidas-adilette-slides-white/A7_280648_ONE.html","280648"
"in_stock","Adidas","Slides & Slippers","adidas_lb","5040000","adidas_lb:A7_288022_ONE",,"LBP","true",,"men","false","adilette Slides, Blue","2026-04-30T03:00:35Z","38","39 1/3","40 2/3","42","43 1/3","44 2/3","46",,,,,,,,,,,,"A7_288022_ONE","https://www.adidas.com.lb/en/adidas-adilette-slides-blue/A7_288022_ONE.html","288022"
"in_stock","Adidas","Originals","adidas_lb","14310000","adidas_lb:A7_B75806_ONE",,"LBP","true",,"women","false","Samba OG Shoes, White","2026-04-30T03:00:35Z","36 2/3","37 1/3","38","40","40 2/3","41 1/3","42","42 2/3","43 1/3","44","44 2/3","45 1/3","46","46 2/3","47 1/3",,,,"A7_B75806_ONE","https://www.adidas.com.lb/en/adidas-samba-og-shoes-white/A7_B75806_ONE.html","B75806"
"in_stock","Adidas","Originals","adidas_lb","14310000","adidas_lb:A7_B75807_ONE",,"LBP","true",,"men","false","Samba OG Shoes, Black","2026-04-30T03:00:35Z","36","36 2/3","37 1/3","38","38 2/3","39 1/3","40","40 2/3","42","42 2/3","43 1/3","44","44 2/3","45 1/3","46","46 2/3","48","48 2/3","A7_B75807_ONE","https://www.adidas.com.lb/en/adidas-samba-og-shoes-black/A7_B75807_ONE.html","B75807"
"in_stock","Adidas","Originals","adidas_lb","7920000","adidas_lb:A7_BB2507_ONE",,"LBP","true",,"unisex","false","Kids Unisex Gazelle Shoes, Black","2026-04-30T03:00:36Z","28","29","30","31","32",,,,,,,,,,,,,,"A7_BB2507_ONE","https://www.adidas.com.lb/en/adidas-kids-unisex-gazelle-shoes-black/A7_BB2507_ONE.html","BB2507"
"in_stock","Adidas","Originals","adidas_lb","14310000","adidas_lb:A7_BB5476_ONE",,"LBP","true",,"men","false","Gazelle Shoes, Black","2026-04-30T03:00:36Z","40 2/3","42","42 2/3","43 1/3","44","44 2/3","45 1/3","46",,,,,,,,,,,"A7_BB5476_ONE","https://www.adidas.com.lb/en/adidas-gazelle-shoes-black/A7_BB5476_ONE.html","BB5476"
"in_stock","Adidas","Originals","adidas_lb","14310000","adidas_lb:A7_BB5478_ONE",,"LBP","true",,"men","false","Gazelle Shoes, Blue","2026-04-30T03:00:36Z","40 2/3","41 1/3","42","42 2/3","43 1/3","44","44 2/3","45 1/3","46","46 2/3",,,,,,,,,"A7_BB5478_ONE","https://www.adidas.com.lb/en/adidas-gazelle-shoes-blue/A7_BB5478_ONE.html","BB5478"
"in_stock","Adidas","Originals","adidas_lb","14310000","adidas_lb:A7_BD7632_ONE",,"LBP","true",,"men","false","Handball Spezial Shoes, Blue","2026-04-30T03:00:37Z","42 2/3","44","45 1/3",,,,,,,,,,,,,,,,"A7_BD7632_ONE","https://www.adidas.com.lb/en/adidas-handball-spezial-shoes-blue/A7_BD7632_ONE.html","BD7632"
"in_stock","Adidas","Originals","adidas_lb","14310000","adidas_lb:A7_BD7633_ONE",,"LBP","true",,"men","false","Handball Spezial Shoes, Blue","2026-04-30T03:00:37Z","42","42 2/3","43 1/3","44","44 2/3","45 1/3","46","46 2/3","47 1/3",,,,,,,,,,"A7_BD7633_ONE","https://www.adidas.com.lb/en/adidas-handball-spezial-shoes-blue/A7_BD7633_ONE.html","BD7633"
