"availability","brand_name","category","competitor_name","competitor_price","competitor_product_id","competitor_sale_price","currency","data_valid","discount_pct","gender_target","is_on_sale","product_name","scraped_at","sizes_available/0","sizes_available/1","sizes_available/2","sizes_available/3","sizes_available/4","sizes_available/5","sizes_available/6","sizes_available/7","sizes_available/8","sizes_available/9","sku_id","source_url","style_code"
"in_stock","Puma","Pants","tchooz","128","tchooz:9114712834305",,"USD","true",,"men","false","BMW MMS Sportswear MT7 Track Pants Men","2026-04-22T03:00:14Z","S","M","L","XL","XXL",,,,,,"4069162255990","https://tchoozshoes.com/products/63487601","63487601"
"in_stock","Puma","Jackets","tchooz","160","tchooz:9114712801537",,"USD","true",,"men","false","BMW MMS Sportswear MT7 Track Jacket Men","2026-04-22T03:00:14Z","S","M","L","XL","XXL",,,,,,"4069162253972","https://tchoozshoes.com/products/63487501","63487501"
"in_stock","Puma","Low Boots","tchooz","65","tchooz:9100414484737",,"USD","true",,"kids","false","CA Pro Classic GABY DOLLHOUSE PS","2026-04-22T03:00:14Z","White And Teal",,,,,,,,,,"does_not_exist","https://tchoozshoes.com/products/40578201","40578201"
"in_stock","Puma","Low Boots","tchooz","128","tchooz:9092776526081",,"USD","true",,"men","false","CA Match Men","2026-04-22T03:00:14Z","41","42","42.5","43","44","44.5","45","46",,,"4067983118678","https://tchoozshoes.com/products/40077905","40077905"
"in_stock","Puma","Pants","tchooz","128","tchooz:9040759488769",,"USD","true",,"men","false","BMW MMS Sportswear Sweat Pants Men","2026-04-22T03:00:14Z","S","M","L","XL",,,,,,,"4069162253323","https://tchoozshoes.com/products/63488101","63488101"
"in_stock","Puma","Tees","tchooz","56","tchooz:9040759914753",,"USD","true",,"men","false","BMW MMS Ess Logo Tee Men","2026-04-22T03:00:14Z","S","M","XL",,,,,,,,"4069162193070","https://tchoozshoes.com/products/63489701","63489701"
"in_stock","Puma","Pants","tchooz","92","tchooz:9040759685377",,"USD","true",,"men","false","BMW MMS Ess Pants Ft Men","2026-04-22T03:00:14Z","S","M","L","XL",,,,,,,"4069162188861","https://tchoozshoes.com/products/63489401","63489401"
"in_stock","Puma","Low Boots","tchooz","153","tchooz:9038730690817",,"USD","true",,"men","false","Ayro Street Men","2026-04-22T03:00:14Z","41","42","43","44","44.5","45","46",,,,"4069161814587","https://tchoozshoes.com/products/31296502","31296502"
"in_stock","Adidas","Low Boots","tchooz","96","tchooz:8693920792833",,"USD","true",,"men","false","BARREDA Men","2026-04-22T03:00:14Z","43 1/3","44","45 1/3",,,,,,,,"4067904284161","https://tchoozshoes.com/products/ji2306","JI2306"
"in_stock","Puma","Low Boots","tchooz","82","tchooz:9100414517505",,"USD","true",,"women","false","Anzarun 2 Lite SLIPTECH Women","2026-04-22T03:00:14Z","37","37.5","38.5","41",,,,,,,"does_not_exist","https://tchoozshoes.com/products/40631207","40631207"
"in_stock","Puma","Low Boots","tchooz","70","tchooz:9045771714817",,"USD","true",,"kids","false","Anzarun Lite AC+ PS","2026-04-22T03:00:14Z","Navy",,,,,,,,,,"4069161701351","https://tchoozshoes.com/products/37200948","37200948"
"out_of_stock","Adidas","Shoes","tchooz","153","tchooz:9021598793985","37","USD","true","75.82","men","true","Adidas F50 LEAGUE TF MESSI Football/soccer","2026-04-22T03:00:14Z",,,,,,,,,,,"4067897611517","https://tchoozshoes.com/products/ig9282","IG9282"
"in_stock","Puma","Low Boots","tchooz","70","tchooz:8282808254721",,"USD","true",,"unisex","false","Anzarun Lite AC+ PS Inf Footwear Sportstyle Kids PS Boys/Unisex","2026-04-22T03:00:14Z","28","29","30","31","32","34",,,,,"4062451497644","https://tchoozshoes.com/products/37200901","37200901"
"in_stock","Puma","Low Boots","tchooz","60","tchooz:8977064362241",,"USD","true",,"boys","false","ATTACANTO FG/AG Boys","2026-04-22T03:00:14Z","36","37","37.5","38","38.5",,,,,,"4099683038840","https://tchoozshoes.com/products/10748001","10748001"
"in_stock","Puma","Low boots","tchooz","70","tchooz:8751719448833",,"USD","true",,"men","false","ATTACANTO TT Men","2026-04-22T03:00:14Z","42.5","43","44.5","45","46",,,,,,"4067983117541","https://tchoozshoes.com/products/10747812","10747812"
"in_stock","Puma","Beanies","tchooz","25","tchooz:8980007977217",,"USD","true",,"kids","false","ANIMAL Mid Crown Beanie Junior","2026-04-22T03:00:14Z","YUTH",,,,,,,,,,"4069157147415","https://tchoozshoes.com/products/2656401","2656401"
"in_stock","Puma","Low Boots","tchooz","70","tchooz:9115231617281","52","USD","true","25.71","men","true","ATTACANTO FG/AG TEAMSPORT Men","2026-04-22T03:00:14Z","41","42","43","44","44.5","45","46","47",,,"does_not_exist","https://tchoozshoes.com/products/attacanto-fg-ag-teamsport-men","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","52","tchooz:9115231584513",,"USD","true",,"men","false","ATTACANTO TT TEAMSPORT Men","2026-04-22T03:00:14Z","42","42.5","43","44","45",,,,,,"does_not_exist","https://tchoozshoes.com/products/attacanto-tt-teamsport-men","does_not_exist"
"in_stock","New Balance","Shoes","tchooz","169","tchooz:9115231551745",,"USD","true",,"men","false","New Balance 327 Lifestyle Men","2026-04-22T03:00:14Z","42","43","44","44.5",,,,,,,"does_not_exist","https://tchoozshoes.com/products/new-balance-327-lifestyle-men","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","100","tchooz:9115231453441",,"USD","true",,"men","false","Palermo Lth F-SPORTSTYLE PRIME Men","2026-04-22T03:00:14Z","43","44","44.5","45",,,,,,,"does_not_exist","https://tchoozshoes.com/products/palermo-lth-f-sportstyle-prime-men","does_not_exist"
"in_stock","Puma","Waterbottles","tchooz","15","tchooz:9115231387905",,"USD","true",,"unisex","false","PUMA TR bottle core TRAINING Unisex","2026-04-22T03:00:14Z","X",,,,,,,,,,"does_not_exist","https://tchoozshoes.com/products/puma-tr-bottle-core-training-unisex","does_not_exist"
"in_stock","Puma","Bags","tchooz","70","tchooz:9115231355137",,"USD","true",,"unisex","false","BTS lunch bag and backpack Set CORE Women","2026-04-22T03:00:14Z","X",,,,,,,,,,"does_not_exist","https://tchoozshoes.com/products/bts-lunch-bag-and-backpack-set-core-women","does_not_exist"
"in_stock","Puma","Bags","tchooz","70","tchooz:9115231322369",,"USD","true",,"unisex","false","BTS lunch bag and backpack Set CORE Unisex","2026-04-22T03:00:14Z","Navy",,,,,,,,,,"does_not_exist","https://tchoozshoes.com/products/bts-lunch-bag-and-backpack-set-core-unisex","does_not_exist"
"in_stock","Puma","Ball","tchooz","30","tchooz:9115231256833",,"USD","true",,"unisex","false","ATTACANTO Graphic TEAMSPORT Unisex","2026-04-22T03:00:14Z","5",,,,,,,,,,"does_not_exist","https://tchoozshoes.com/products/attacanto-graphic-teamsport-unisex","does_not_exist"
"in_stock","Puma","Backpacks","tchooz","60","tchooz:9115231224065",,"USD","true",,"kids","false","FEED YOUR PUMA Backpack PRIME Kids","2026-04-22T03:00:14Z","X",,,,,,,,,,"does_not_exist","https://tchoozshoes.com/products/feed-your-puma-backpack-prime-kids","does_not_exist"
"in_stock","Puma","Backpacks","tchooz","60","tchooz:9115231158529",,"USD","true",,"girls","false","FEED YOUR PUMA Backpack PRIME Girls","2026-04-22T03:00:14Z","X",,,,,,,,,,"does_not_exist","https://tchoozshoes.com/products/feed-your-puma-backpack-prime-girls","does_not_exist"
