"availability","brand_name","category","competitor_name","competitor_price","competitor_product_id","competitor_sale_price","currency","data_valid","discount_pct","gender_target","is_on_sale","product_name","scraped_at","sizes_available/0","sizes_available/1","sizes_available/2","sizes_available/3","sizes_available/4","sizes_available/5","sizes_available/6","sizes_available/7","sizes_available/8","sizes_available/9","sizes_available/10","sizes_available/11","sku_id","source_url","style_code"
"in_stock","Puma","Suits","tchooz","110","tchooz:8916701217025",,"USD","true",,"men","false","ESS Poly Suit cl Men","2026-05-22T03:00:10Z","S",,,,,,,,,,,,"68484744","https://tchoozshoes.com/products/68484744","68484744"
"in_stock","Puma","Tees","tchooz","65","tchooz:8860412281089","35","USD","true","46.15","men","true","PL ESS Tee Men","2026-05-22T03:00:10Z","XXL",,,,,,,,,,,,"63271505","https://tchoozshoes.com/products/63271505","63271505"
"in_stock","Puma","Tees","tchooz","49","tchooz:9115225981185",,"USD","true",,"men","false","T7 Tee Men","2026-05-22T03:00:10Z","Navy",,,,,,,,,,,,"62959216","https://tchoozshoes.com/products/t7-tee-men","does_not_exist"
"in_stock","Puma","Pants","tchooz","72","tchooz:8916700692737",,"USD","true",,"men","false","M TAD ESS French Terry Jogger Men","2026-05-22T03:00:10Z","XXL",,,,,,,,,,,,"52591701","https://tchoozshoes.com/products/52591701","52591701"
"in_stock","Puma","Low Boots","tchooz","75","tchooz:9163934695681","55","USD","true","26.67","kids","true","Carina 3.0 HK&FR 2 PS","2026-05-22T03:00:10Z","White And Red",,,,,,,,,,,,"40339501","https://tchoozshoes.com/products/carina-3-0-hk-fr-2-ps","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","75","tchooz:9115220214017","45","USD","true","40","kids","true","Graviton Jr","2026-05-22T03:00:10Z","37.5",,,,,,,,,,,,"38198711","https://tchoozshoes.com/products/graviton-jr","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","80","tchooz:9163911397633","55","USD","true","31.25","kids","true","Puma Caven 2.0 Retro Jr","2026-05-22T03:00:10Z","35.5",,,,,,,,,,,,"40320302","https://tchoozshoes.com/products/puma-caven-2-0-retro-jr","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","55","tchooz:9119000166657",,"USD","true",,"kids","false","Skyrocket 2 AC+ Inf","2026-05-22T03:00:10Z","21","22","23","24","25","26","27",,,,,,"31241506","https://tchoozshoes.com/products/31241506","31241506"
"in_stock","Puma","Low Boots","tchooz","92","tchooz:9118997971201",,"USD","true",,"men","false","Skyrocket Lite Trail Men","2026-05-22T03:00:10Z","41","42","42.5","43","44","44.5","45","46","47",,,,"31078122","https://tchoozshoes.com/products/31078122","31078122"
"in_stock","Puma","Low Boots","tchooz","144","tchooz:9115220345089","115","USD","true","20.14","men","true","BMW MMS Trinity 2 Men","2026-05-22T03:00:10Z","41","42","43","44","44.5","45","46",,,,,,"30912301","https://tchoozshoes.com/products/bmw-mms-trinity-2-men","does_not_exist"
